game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,wab,barthag,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,win_prob_raw,win_prob
r1_r1_g01,Round 1,Region 1,1,Connecticut,Region 1,16,UTSA,23.13255014086822,0.3568978349480007,11.968175076756497,46.36000517122767,1.6000000000000014,17.700000000000003,-60.6,39.6,-36.3,35.800000000000004,-58.6,51.0,0.7999999999999972,18.8,-31.300000000000004,44.3,-28.7,29.9,5.770957028189841,0.9993809497288576,0.999211938072036
r1_r1_g02,Round 1,Region 1,2,Vanderbilt,Region 1,15,High Point,14.35153990875721,0.4808530000012586,18.0406286041068,23.55638456838236,-4.100000000000001,1.8999999999999984,-56.50000000000001,51.7,-32.4,39.6,-51.4,47.8,-4.699999999999996,0.7000000000000028,-35.2,35.800000000000004,-29.499999999999996,25.90000000000001,0.667018002608458,0.9965798312536392,0.9933769441772533
r1_r1_g03,Round 1,Region 1,3,Ohio St.,Region 1,14,Howard,13.783587205229558,0.5280618363387712,9.088007422172282,30.06748881444946,-6.099999999999994,10.4,-55.9,51.00000000000001,-37.7,34.9,-46.1,38.89999999999999,-4.799999999999997,13.200000000000005,-39.2,36.4,-31.60000000000001,40.00000000000001,4.222729074426937,0.9935878616325268,0.9905091018384178
r1_r1_g04,Round 1,Region 1,4,North Carolina,Region 1,13,Western Illinois,9.409306085751403,0.2627945084951517,4.767848225918641,22.17195991074153,-4.0,7.699999999999996,-58.6,60.3,-38.0,48.8,-52.2,36.60000000000001,-6.100000000000001,8.899999999999999,-33.49999999999999,36.400000000000006,-26.200000000000003,40.1,-0.2466497450348441,0.9787139849574608,0.9682091026344712
r1_r1_g05,Round 1,Region 1,5,Maryland,Region 1,12,Murray St.,5.385012118613601,0.2465128931938469,14.460382653819096,14.38924826012486,-1.7000000000000028,4.900000000000006,-60.900000000000006,56.5,-30.200000000000003,39.00000000000001,-45.2,37.7,-0.1999999999999957,5.600000000000001,-37.00000000000001,35.2,-42.6,25.500000000000007,-2.044795265651487,0.9848707870159036,0.9694040930921384
r1_r1_g06,Round 1,Region 1,6,Notre Dame,Region 1,11,Fairfield,4.552050593975466,0.0905356283413565,-0.4602675524501904,15.87494986778728,-5.0,-2.3000000000000043,-53.1,53.7,-42.3,41.8,-45.0,50.6,-4.5,-2.299999999999997,-37.2,32.2,-40.00000000000001,17.4,2.570674898700659,0.8942420081456858,0.8436519608220118
r1_r1_g07,Round 1,Region 1,7,Illinois,Region 1,10,Colorado,1.7916447088875502,0.0095503372703894,-5.45003414165538,10.149493743349067,-4.300000000000004,7.200000000000003,-57.6,54.6,-40.2,36.00000000000001,-37.09999999999999,38.6,-6.399999999999999,4.700000000000003,-32.99999999999999,42.99999999999999,-36.9,45.8,1.5205782858991626,0.6725146920264152,0.6027266866910396
r1_r1_g08,Round 1,Region 1,8,Iowa St.,Region 1,9,Syracuse,-0.9031483848570184,0.0163357365538567,-0.8488124430169819,6.54353213857685,-0.8999999999999986,8.200000000000003,-56.6,57.99999999999999,-39.8,32.2,-41.3,45.7,-0.5,10.299999999999995,-34.400000000000006,36.1,-33.8,40.8,0.4947634995791645,0.7011677446434155,0.6147197345830524
r1_r2_g01,Round 1,Region 2,1,UCLA,Region 2,16,Cal Baptist,24.57285767756315,0.3165731984684476,24.694633249921324,30.1690016754344,0.2000000000000028,10.699999999999996,-61.10000000000001,58.900000000000006,-29.90000000000001,46.1,-46.1,60.3,-2.3999999999999986,9.700000000000005,-30.3,41.2,-32.900000000000006,21.0,-5.853291504062582,0.999450347592924,0.9989779215943193
r1_r2_g02,Round 1,Region 2,2,LSU,Region 2,15,Jacksonville,13.31608084002591,0.4261205036446891,17.463601349176557,32.416517117239934,-0.6999999999999957,15.9,-55.6,53.8,-21.999999999999996,41.8,-31.000000000000007,30.90000000000001,0.0,18.200000000000003,-33.7,41.5,-40.3,33.3,0.8043476064441535,0.9990519130354525,0.9984575826458914
r1_r2_g03,Round 1,Region 2,3,Duke,Region 2,14,Charleston,11.333166704859355,0.3451131667080269,5.091111960402117,29.900916681510225,-5.799999999999997,13.699999999999996,-52.3,57.99999999999999,-32.2,32.2,-52.4,53.8,-8.100000000000001,15.5,-34.4,40.1,-33.1,39.5,0.5344451020001344,0.9894810963846415,0.9852371888912326
r1_r2_g04,Round 1,Region 2,4,Minnesota,Region 2,13,Green Bay,9.484617284016895,0.2040156269485969,3.4387288882891056,25.471752552726254,-6.100000000000001,5.799999999999997,-62.3,56.6,-37.3,51.1,-55.9,51.8,-8.5,7.0,-34.5,36.0,-30.2,27.7,-1.3878231821185525,0.9835548199770252,0.9766525750940769
r1_r2_g05,Round 1,Region 2,5,Mississippi,Region 2,12,Gonzaga,7.845531235129658,0.0972659584441322,3.3363383074013058,13.020545160340134,-7.700000000000003,3.800000000000004,-60.400000000000006,50.3,-34.0,31.8,-36.7,40.3,-5.899999999999999,7.600000000000001,-41.2,29.8,-36.6,43.49999999999999,-0.1868658515146961,0.9060047280312455,0.8529322798965525
r1_r2_g06,Round 1,Region 2,6,Baylor,Region 2,11,Nebraska,3.481165788185984,-0.0110697470151053,-11.197957657898954,5.407604350287855,-1.0999999999999943,6.099999999999994,-51.3,59.1,-35.30000000000001,37.3,-41.6,49.7,1.1999999999999955,4.699999999999996,-36.8,39.2,-25.9,32.800000000000004,0.0636505797137942,0.40572344111387937,0.36208822349893477
r1_r2_g07,Round 1,Region 2,7,Texas Tech,Region 2,10,Villanova,0.0185931035404331,-0.0026295765766624,-13.106101156208965,11.80316653344964,-3.799999999999997,8.099999999999994,-52.9,53.50000000000001,-42.6,41.0,-38.5,50.3,-3.6000000000000014,8.700000000000003,-36.2,38.3,-30.800000000000004,28.2,-1.5089364285979343,0.49774763108948544,0.4576661494771034
r1_r2_g08,Round 1,Region 2,8,Oklahoma St.,Region 2,9,Princeton,-1.3058755826284605,0.0472343183555552,1.6054782181636256,6.280811861364086,-0.5999999999999943,0.5,-55.1,55.1,-32.400000000000006,40.6,-49.2,44.2,-0.8999999999999986,1.4000000000000057,-33.2,32.4,-25.4,35.60000000000001,3.6005935180641444,0.8205082184442947,0.7297376862739593
r1_r3_g01,Round 1,Region 3,1,Texas,Region 3,16,Missouri St.,23.93580590056864,0.3784555598390271,12.262407914238764,39.160691777644274,-4.799999999999997,12.700000000000005,-61.1,43.900000000000006,-32.300000000000004,38.5,-40.2,26.300000000000004,-4.900000000000006,13.299999999999995,-37.1,40.8,-51.49999999999999,44.9,0.6826453314238279,0.9987831760098281,0.9983206477169771
r1_r3_g02,Round 1,Region 3,2,Michigan,Region 3,15,Holy Cross,16.593625500324343,0.4801900349872732,3.778175946176688,39.08990697072112,-5.899999999999999,8.399999999999999,-58.3,49.8,-33.50000000000001,46.8,-46.2,46.2,-5.599999999999994,7.300000000000004,-37.7,40.39999999999999,-34.900000000000006,32.7,3.9350655173709583,0.9969047721701491,0.9961019654000777
