game_id,side,id,year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,high_bracket_score,low_bracket_score,point_diff,point_total,win
20212309,a,2309,2021,South,Second Round,1,2021 North Carolina St.,8,2021 South Florida,79,67,12,146,1
20222309,a,2309,2022,West,Second Round,1,2022 Stanford,8,2022 Kansas,91,65,26,156,1
20242309,a,2309,2024,East,Second Round,1,2024 Iowa,8,2024 West Virginia,64,54,10,118,1
20252309a,a,2309,2025,East,Second Round,1,2025 Texas,8,2025 Illinois,65,48,17,113,1
20212409,a,2409,2021,Midwest,Second Round,1,2021 Connecticut,8,2021 Syracuse,83,47,36,130,1
20232409,a,2409,2023,East,Second Round,1,2023 Stanford,8,2023 Mississippi,49,54,-5,103,0
20242409,a,2409,2024,West,Second Round,1,2024 USC,8,2024 Kansas,73,55,18,128,1
20233413,b,3413,2023,East,Sweet 16,5,2023 Louisville,8,2023 Mississippi,72,62,10,134,1
20211108,a,1108,2021,East,First Round,8,2021 Oklahoma St.,9,2021 Wake Forest,84,61,23,145,1
20221108,a,1108,2022,South,First Round,8,2022 Miami FL,9,2022 South Florida,78,66,12,144,1
20231108,a,1108,2023,South,First Round,8,2023 South Florida,9,2023 Marquette,67,65,2,132,1
20241108,a,1108,2024,South,First Round,8,2024 North Carolina,9,2024 Michigan St.,59,56,3,115,1
20251108a,a,1108,2025,South,First Round,8,2025 Richmond,9,2025 Georgia Tech,74,49,25,123,1
20211208,a,1208,2021,West,First Round,8,2021 Oregon St.,9,2021 Florida St.,83,59,24,142,1
20221208,a,1208,2022,Midwest,First Round,8,2022 Nebraska,9,2022 Gonzaga,55,68,-13,123,0
20231208,a,1208,2023,Midwest,First Round,8,2023 Oklahoma St.,9,2023 Miami FL,61,62,-1,123,0
20241208,a,1208,2024,Midwest,First Round,8,2024 Alabama,9,2024 Florida St.,82,74,8,156,1
20251208a,a,1208,2025,Midwest,First Round,8,2025 Utah,9,2025 Indiana,68,76,-8,144,0
20211308,a,1308,2021,South,First Round,8,2021 South Florida,9,2021 Washington St.,57,53,4,110,1
20221308,a,1308,2022,West,First Round,8,2022 Kansas,9,2022 Georgia Tech,77,58,19,135,1
20231308,a,1308,2023,West,First Round,8,2023 USC,9,2023 South Dakota St.,57,62,-5,119,0
20241308,a,1308,2024,East,First Round,8,2024 West Virginia,9,2024 Princeton,63,53,10,116,1
20251308a,a,1308,2025,East,First Round,8,2025 Illinois,9,2025 Creighton,66,57,9,123,1
20211408,a,1408,2021,Midwest,First Round,8,2021 Syracuse,9,2021 South Dakota St.,72,55,17,127,1
20221408,a,1408,2022,East,First Round,8,2022 Washington St.,9,2022 Kansas St.,40,50,-10,90,0
20231408,a,1408,2023,East,First Round,8,2023 Mississippi,9,2023 Gonzaga,71,48,23,119,1
20241408,a,1408,2024,West,First Round,8,2024 Kansas,9,2024 Michigan,81,72,9,153,1
20251408a,a,1408,2025,West,First Round,8,2025 California,9,2025 Mississippi St.,46,59,-13,105,0
20222209,a,2209,2022,Midwest,Second Round,1,2022 Louisville,9,2022 Gonzaga,68,59,9,127,1
20232209,a,2209,2023,Midwest,Second Round,1,2023 Indiana,9,2023 Miami FL,68,70,-2,138,0
20252209a,a,2209,2025,Midwest,Second Round,1,2025 South Carolina,9,2025 Indiana,64,53,11,117,1
20232309,a,2309,2023,West,Second Round,1,2023 Virginia Tech,9,2023 South Dakota St.,72,60,12,132,1
20222409,a,2409,2022,East,Second Round,1,2022 North Carolina St.,9,2022 Kansas St.,89,57,32,146,1
20252409a,a,2409,2025,West,Second Round,1,2025 USC,9,2025 Mississippi St.,96,59,37,155,1
20233213,b,3213,2023,Midwest,Sweet 16,4,2023 Villanova,9,2023 Miami FL,65,70,-5,135,0
20234215,b,4215,2023,Midwest,Elite Eight,3,2023 LSU,9,2023 Miami FL,54,42,12,96,1
20211107,a,1107,2021,East,First Round,7,2021 Northwestern,10,2021 UCF,62,51,11,113,1
