year,team,seed,tier,bracket_value,overall,offense,defense,finish
2023,Florida St.,7,D,0.0,7.61,5.73,6.88,First Round
2023,Gonzaga,9,C,0.0,5.7,8.33,4.3,First Round
2023,Middle Tennessee,11,D,0.0,5.65,6.61,7.37,First Round
2023,Drake,12,D,0.0,4.52,8.31,4.09,First Round
2023,East Carolina,13,F,0.0,3.07,1.3,9.41,First Round
2023,Iona,14,F,0.0,2.34,4.06,5.86,First Round
2023,Southeastern Louisiana,15,F,0.0,1.43,1.05,3.69,First Round
2023,Southern,16,F,0.0,1.11,1.0,3.82,First Round
2023,Sacred Heart,16,F,0.0,1.08,1.11,2.96,First Round
2024,Michigan St.,9,D,0.0,6.64,8.93,2.21,First Round
2024,Marquette,10,D,0.0,4.87,4.87,4.68,First Round
2024,Texas A&M,11,D,0.0,4.57,3.07,7.96,First Round
2024,Florida Gulf Coast,12,D,0.0,4.36,8.25,3.77,First Round
2024,Fairfield,13,F,0.0,3.79,7.13,6.51,First Round
2024,Eastern Washington,14,F,0.0,2.88,2.13,5.24,First Round
2024,Kent St.,15,F,0.0,2.32,3.2,1.43,First Round
2024,Sacred Heart,16,F,0.0,1.21,1.48,1.67,First Round
2024,Presbyterian,16,F,0.0,1.0,1.21,1.13,First Round
2024,Florida St.,9,C,0.0,5.22,3.47,4.65,First Round
2024,Maryland,10,D,0.0,5.94,5.62,4.44,First Round
2024,Green Bay,11,D,0.0,3.63,6.37,3.26,First Round
2024,South Dakota St.,12,D,0.0,3.58,6.24,4.41,First Round
2024,UC Irvine,13,F,0.0,2.26,1.62,4.84,First Round
2024,Chattanooga,14,F,0.0,2.72,2.93,4.33,First Round
2024,Norfolk St.,15,F,0.0,2.37,1.73,6.59,First Round
2024,Drexel,16,F,0.0,1.32,1.38,2.85,First Round
2024,Louisville,6,B,0.0,6.88,6.83,5.14,First Round
2024,Princeton,9,C,0.0,5.24,5.46,5.19,First Round
2024,UNLV,10,D,0.0,4.71,5.94,2.88,First Round
2024,Drake,12,D,0.0,4.17,8.68,1.35,First Round
2024,Portland,13,F,0.0,2.85,2.8,7.26,First Round
2024,Rice,14,F,0.0,2.61,2.24,4.92,First Round
2024,California Baptist,15,F,0.0,2.69,3.58,1.94,First Round
2024,Holy Cross,16,F,0.0,1.27,1.4,2.56,First Round
2024,UT Martin,16,F,0.0,1.16,3.01,1.16,First Round
2024,Michigan,9,C,0.0,3.82,5.41,2.83,First Round
2024,Richmond,10,D,0.0,5.03,8.5,4.36,First Round
2024,Auburn,11,D,0.0,4.92,1.64,9.52,First Round
2024,Arizona,11,D,0.0,4.81,3.85,6.7,First Round
2024,Vanderbilt,12,D,0.0,4.22,4.22,5.62,First Round
2024,Columbia,12,D,0.0,4.12,8.84,2.05,First Round
2024,Marshall,13,F,0.0,3.26,6.59,2.42,First Round
2024,Jackson St.,14,F,0.0,3.1,2.85,7.39,First Round
2024,Maine,15,F,0.0,2.18,2.96,1.46,First Round
2024,Texas A&M Corpus Chris,16,F,0.0,1.89,1.59,6.0,First Round
2025,Georgia Tech,9,C,0.0,5.46,6.51,2.24,First Round
2025,Harvard,10,D,0.0,4.84,4.55,8.15,First Round
2025,George Mason,11,D,0.0,4.28,5.06,5.27,First Round
2025,Ball St.,12,D,0.0,3.28,4.14,4.57,First Round
2025,Grand Canyon,13,F,0.0,4.09,5.81,5.49,First Round
2025,San Diego St.,14,F,0.0,2.5,2.1,3.74,First Round
2025,Vermont,15,F,0.0,2.53,3.23,3.53,First Round
2025,UC San Diego,16,F,0.0,1.35,1.19,4.71,First Round
2025,Southern,16,F,0.0,1.54,1.08,7.02,First Round
2025,Oklahoma St.,7,D,0.0,7.96,6.91,7.9,First Round
2025,California,8,D,0.0,7.99,9.03,5.65,First Round
2025,Murray St.,11,D,0.0,3.77,8.36,1.03,First Round
2025,Fairfield,12,D,0.0,3.2,5.51,3.5,First Round
2025,Liberty,13,F,0.0,3.53,7.56,3.04,First Round
2025,Florida Gulf Coast,14,F,0.0,3.47,5.11,4.98,First Round
2025,Arkansas St.,15,F,0.0,2.05,2.83,3.2,First Round
2025,UNC Greensboro,16,F,0.0,1.91,1.89,3.47,First Round
2025,Vanderbilt,7,C,0.0,7.58,8.52,4.06,First Round
2025,Utah,8,D,0.0,7.18,9.44,2.72,First Round
2025,Columbia,11,D,0.0,4.33,7.99,2.45,First Round
2025,Washington,11,D,0.0,5.57,8.95,3.07,First Round
2025,Green Bay,12,D,0.0,3.04,3.61,2.29,First Round
2025,Norfolk St.,13,F,0.0,3.55,3.69,7.72,First Round
2025,Oregon St.,14,F,0.0,2.02,2.5,1.86,First Round
2025,Lehigh,15,F,0.0,2.45,4.47,1.97,First Round
2025,Tennessee Tech,16,F,0.0,2.42,5.0,1.4,First Round
2025,Creighton,9,D,0.0,6.0,6.96,1.89,First Round
2025,Nebraska,10,D,0.0,6.16,8.79,1.99,First Round
2025,Iowa St.,11,D,0.0,6.4,8.87,2.16,First Round
2025,Princeton,11,D,0.0,3.98,6.7,4.47,First Round
2025,South Florida,12,D,0.0,3.15,3.39,2.93,First Round
2025,Montana St.,13,F,0.0,3.93,4.52,6.96,First Round
2025,Stephen F. Austin,14,F,0.0,2.96,7.23,2.13,First Round
2025,Fairleigh Dickinson,15,F,0.0,1.51,2.61,1.24,First Round
2025,High Point,16,F,0.0,1.38,2.16,3.1,First Round
2025,William & Mary,16,F,0.0,1.05,1.24,1.19,First Round
2021,Tennessee,3,C,0.0,7.5,6.08,6.99,Second Round
2021,Kentucky,4,C,0.0,6.35,5.84,5.59,Second Round
2021,Virginia Tech,7,D,0.0,5.78,7.18,4.81,Second Round
2021,Syracuse,8,C,0.0,5.35,5.67,5.57,Second Round
2021,UCLA,3,A,0.0,8.47,6.4,8.58,Second Round
2021,West Virginia,4,B,0.0,7.31,5.86,4.95,Second Round
2021,Alabama,7,C,0.0,4.25,7.85,1.3,Second Round
2021,Oregon St.,8,D,0.0,6.56,8.41,3.9,Second Round
2021,Iowa St.,7,D,0.0,5.97,8.44,1.83,Second Round
2021,South Florida,8,D,0.0,5.62,4.76,8.36,Second Round
2021,BYU,11,D,0.0,4.76,5.14,7.47,Second Round
2021,Belmont,12,D,0.0,3.18,5.54,5.22,Second Round
2021,Georgia,3,C,0.0,8.12,4.39,9.22,Second Round
2021,Northwestern,7,C,0.0,5.73,2.05,8.47,Second Round
2021,Oklahoma St.,8,D,0.0,6.37,3.31,7.8,Second Round
2021,Wright St.,13,F,0.0,2.93,2.21,6.91,Second Round
2022,Oklahoma,4,C,0.0,8.76,8.07,5.43,Second Round
2022,UCF,7,D,0.0,6.99,2.56,10.0,Second Round
2022,Kansas St.,9,D,0.0,5.14,2.64,7.88,Second Round
2022,Princeton,11,D,0.0,6.02,3.53,9.36,Second Round
2022,Iowa,2,C,0.0,8.44,9.52,3.31,Second Round
2022,Arizona,4,C,0.0,7.07,4.9,8.6,Second Round
2022,Georgia,6,C,0.0,6.21,2.69,8.52,Second Round
2022,Miami FL,8,D,0.0,5.3,2.88,8.79,Second Round
2022,Baylor,2,A,0.0,8.95,8.15,7.5,Second Round
2022,Gonzaga,9,D,0.0,6.8,7.21,7.34,Second Round
2022,Villanova,11,D,0.0,3.34,3.12,3.44,Second Round
2022,Belmont,12,D,0.0,3.61,5.22,6.56,Second Round
2022,LSU,3,C,0.0,7.42,3.93,6.86,Second Round
2022,Utah,7,C,0.0,6.67,9.46,2.59,Second Round
2022,Kansas,8,D,0.0,6.19,4.41,7.85,Second Round
2022,Florida Gulf Coast,12,D,0.0,4.68,6.05,3.42,Second Round
2023,Oklahoma,5,C,0.0,8.39,9.27,2.61,Second Round
2023,Arizona,7,C,0.0,6.13,4.57,6.24,Second Round
2023,South Florida,8,D,0.0,5.41,7.93,4.14,Second Round
2023,Illinois,11,D,0.0,4.65,7.5,3.23,Second Round
2023,North Carolina,6,C,0.0,7.39,3.79,8.95,Second Round
2023,Baylor,7,C,0.0,6.27,4.84,7.31,Second Round
2023,South Dakota St.,9,D,0.0,5.0,7.31,3.98,Second Round
2023,Toledo,12,D,0.0,3.23,4.81,1.81,Second Round
2023,Indiana,1,A,0.0,9.19,9.36,6.16,Second Round
2023,Michigan,6,C,0.0,6.32,7.29,4.01,Second Round
2023,Princeton,10,D,0.0,4.2,2.75,8.2,Second Round
2023,Florida Gulf Coast,12,D,0.0,5.27,8.6,4.22,Second Round
2023,Stanford,1,S,0.0,9.54,9.3,8.84,Second Round
