round,team_region,team_seed,opp_region,opp_seed
Round 2,Region 3,10,Region 3,15
Round 2,Region 3,6,Region 3,3
Round 2,Region 3,11,Region 3,3
Round 2,Region 3,6,Region 3,14
Round 2,Region 3,11,Region 3,14
Round 2,Region 3,5,Region 3,4
Round 2,Region 3,12,Region 3,4
Round 2,Region 3,5,Region 3,13
Round 2,Region 3,12,Region 3,13
Round 2,Region 4,8,Region 4,1
Round 2,Region 4,9,Region 4,1
Round 2,Region 4,8,Region 4,16
Round 2,Region 4,9,Region 4,16
Round 2,Region 4,7,Region 4,2
Round 2,Region 4,10,Region 4,2
Round 2,Region 4,7,Region 4,15
Round 2,Region 4,10,Region 4,15
Round 2,Region 4,6,Region 4,3
Round 2,Region 4,11,Region 4,3
Round 2,Region 4,6,Region 4,14
Round 2,Region 4,11,Region 4,14
Round 2,Region 4,5,Region 4,4
Round 2,Region 4,12,Region 4,4
Round 2,Region 4,5,Region 4,13
Round 2,Region 4,12,Region 4,13
Sweet 16,Region 1,1,Region 1,4
Sweet 16,Region 1,1,Region 1,13
Sweet 16,Region 1,1,Region 1,5
Sweet 16,Region 1,1,Region 1,12
Sweet 16,Region 1,16,Region 1,4
Sweet 16,Region 1,16,Region 1,13
Sweet 16,Region 1,16,Region 1,5
Sweet 16,Region 1,16,Region 1,12
Sweet 16,Region 1,8,Region 1,4
Sweet 16,Region 1,8,Region 1,13
Sweet 16,Region 1,8,Region 1,5
Sweet 16,Region 1,8,Region 1,12
Sweet 16,Region 1,9,Region 1,4
Sweet 16,Region 1,9,Region 1,13
Sweet 16,Region 1,9,Region 1,5
Sweet 16,Region 1,9,Region 1,12
Sweet 16,Region 1,2,Region 1,3
Sweet 16,Region 1,2,Region 1,14
Sweet 16,Region 1,2,Region 1,6
Sweet 16,Region 1,2,Region 1,11
Sweet 16,Region 1,15,Region 1,3
Sweet 16,Region 1,15,Region 1,14
Sweet 16,Region 1,15,Region 1,6
Sweet 16,Region 1,15,Region 1,11
Sweet 16,Region 1,7,Region 1,3
Sweet 16,Region 1,7,Region 1,14
Sweet 16,Region 1,7,Region 1,6
Sweet 16,Region 1,7,Region 1,11
Sweet 16,Region 1,10,Region 1,3
Sweet 16,Region 1,10,Region 1,14
Sweet 16,Region 1,10,Region 1,6
Sweet 16,Region 1,10,Region 1,11
Sweet 16,Region 2,1,Region 2,4
Sweet 16,Region 2,1,Region 2,13
Sweet 16,Region 2,1,Region 2,5
Sweet 16,Region 2,1,Region 2,12
Sweet 16,Region 2,16,Region 2,4
