torvik_id,year,rank,team,conf,games,record,adj_oe,adj_de,barthag,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,wab
2023 Illinois,2023,41,Illinois,B10,31,22–9,113.3,89,0.941,51.8,44.4,18.6,19.8,35.4,28.4,22.5,30.6,49.6,45.8,37.8,27.5,30.5,30.6,68.2,0.7
2023 Drake,2023,51,Drake,MVC,31,22–9,104.3,84.5,0.9184,54.6,42.3,23.3,19.1,33.1,24.5,32.8,22.2,57.4,39.5,33.5,32.1,39.3,32.7,75,-3.2
2023 Northern Iowa,2023,65,Northern Iowa,MVC,31,22–9,104.3,87.9,0.8776,51,45.3,17.5,20.8,27.9,26.7,30.3,27.7,50.3,45.4,34.8,30.1,39.7,37.6,71.3,-2.6
2023 Long Beach St.,2023,109,Long Beach St.,BW,31,22–9,94.8,87.9,0.7054,47.9,45.3,20.7,29.7,25.1,35.3,22.4,26.2,48.8,46.1,30.6,29.3,33.4,39.5,67.4,-5.2
2024 Colorado,2024,19,Colorado,P12,31,22–9,113.9,81,0.9803,51.5,45.7,19.3,23.4,32.1,25.1,26.1,28.7,50.5,43.2,35.8,34,30.6,32.5,71.3,5.6
2024 Oklahoma,2024,26,Oklahoma,B12,31,22–9,108.5,81.7,0.9628,48.6,43.9,21.3,21.5,35,27.9,23.4,27.8,49.3,43.5,31.7,29.7,38.1,31.5,76.4,5.2
2024 Vanderbilt,2024,53,Vanderbilt,SEC,31,22–9,102.7,83.1,0.9195,46.2,45.3,20.8,25.3,35.3,31,26.8,25,45.1,46.3,32.4,29,33,35.6,69.3,1
2024 Sacred Heart,2024,230,Sacred Heart,NEC,31,22–9,89.4,96.7,0.289,45.3,44.3,19.1,27.1,32.9,32,29.9,26.4,46.3,44.4,28.7,29.2,32,30.1,68.9,-7.5
2025 Kentucky,2025,15,Kentucky,SEC,31,23-8,115,79.3,0.9863,51.3,40.2,18,18.1,29.9,30.5,22.5,25.3,53.6,40,31.9,27.2,40.2,29.6,68.9,7
2022 Tennessee,2022,18,Tennessee,SEC,31,23–8,102.2,75.8,0.9687,45,39.1,23.6,18.5,41.3,27.4,31.2,22.7,44.8,37.6,30.4,27.7,22.7,36.7,72.5,7.6
2022 Mississippi,2022,21,Mississippi,SEC,31,23–8,102.1,76.4,0.9655,44.7,41.8,20.5,26.8,37.4,29.1,30.7,31.6,45.7,41.5,27,28.7,18.8,23.1,68.9,4.6
2022 Villanova,2022,63,Villanova,BE,31,23–8,100.3,84.9,0.8719,46.8,45.4,19.3,21.8,28.6,27.7,23.7,24.9,46.8,44.9,31.2,31.2,40.5,26.4,66.8,1.2
2022 Cal Baptist,2022,136,Cal Baptist,WAC,31,23–8,96,92.3,0.6121,51.2,42.5,19.1,20.9,22.1,29.1,23.9,26.9,55,40.2,31,31.9,45,30.5,76.8,-5
2022 American,2022,186,American,Pat,31,23–8,86.8,88.8,0.4338,46,43.2,23.2,26.7,26,31.4,28,24.1,48,46.2,27.4,24.3,28.2,30.4,67.9,-5.7
2023 Mississippi,2023,16,Mississippi,SEC,31,23–8,104.2,76.4,0.9725,46.2,38.5,20.8,23.6,37.8,27.6,30,33.6,46.9,38.6,29.4,25.5,26.4,23.8,68.4,3.5
2023 Colorado,2023,21,Colorado,P12,31,23–8,106.8,79.1,0.9691,48.4,43.1,21.8,24.4,34.4,28.4,29.6,26.2,47.2,41.8,34.4,30.4,28.1,34.2,68.2,4.8
