torvik_id,year,rank,team,conf,games,record,adj_oe,adj_de,barthag,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,wab
2021 Utah Tech,2021,340,Utah Tech,WAC,2,0–2,69.7,99.7,0.0159,35.1,46.7,25.4,17,22.6,30.4,28.8,33.3,32.4,42.2,27,39.4,33.3,26.8,71.2,-1.9
2021 San Jose St.,2021,217,San Jose St.,MWC,4,2–2,86.8,92.5,0.3238,38.5,42.5,17,22,33.2,32.1,25.2,26.3,38,42.3,26.3,28.6,33.7,29.7,71.9,-1.5
2021 Duke,2021,31,Duke,ACC,4,3–1,103.5,80,0.9507,52.8,40.5,24,15.7,47.8,27.2,22.3,17.2,53.7,40.5,34.1,26.9,34.4,25.6,68.4,-0.11
2021 Virginia,2021,238,Virginia,ACC,5,0–5,83.1,91.4,0.2501,40.6,46.6,30.1,27.2,32.8,43.3,26.4,26.3,36.9,45.9,34.9,32.1,24.1,28.7,67.9,-3.4
2021 Canisius,2021,339,Canisius,MAAC,5,0–5,77,109.7,0.0168,38.2,49.1,22.3,21.3,17.7,50.5,23.5,23.7,32.7,48.9,31.1,33,39.6,29.3,67.4,-4.5
2021 SMU,2021,218,SMU,Amer,6,0–6,81.8,87.2,0.3235,37.9,48.6,28.6,22.9,33.3,30,20.3,41.2,35.1,51.2,29.7,28.3,29.3,29.9,73.9,-3.4
2021 Vermont,2021,230,Vermont,AE,6,4–2,87.4,94.9,0.2801,46.1,39.2,20.3,21.6,29.3,32.8,17.5,25.3,45.7,37.4,31.5,29.1,25.5,28.6,68.3,-1.9
2021 UMBC,2021,313,UMBC,AE,8,2–6,81.1,103.3,0.0578,37.4,48,23.7,23.5,38.1,30.2,35.3,29.2,37,50.2,26.2,28.5,17.9,29.2,71.2,-5.8
2021 Vanderbilt,2021,172,Vanderbilt,SEC,8,4–4,97,98.7,0.4494,45.8,48.6,20.8,21,32.1,35,25.8,35.2,44.7,46.6,32.1,35.2,30.8,31.2,78.3,-1.7
2021 Colgate,2021,337,Colgate,Pat,9,1–8,81.5,115.2,0.0183,42.6,52.8,22.1,20.7,23.9,35.6,18.4,35.9,40.6,50.3,31,37.6,33.8,40.9,68.3,-7.8
2021 South Carolina St.,2021,343,South Carolina St.,MEAC,10,1–9,65.6,108.6,0.003,36.5,48.8,32.4,21.2,23.5,42.8,24.8,25.7,33.7,46.3,28.2,36.7,32.7,28.6,72.4,-8.1
2021 Bucknell,2021,84,Bucknell,Pat,10,9–1,96.1,86,0.7827,48.1,39.2,13.9,18.8,21.2,18.3,27,22.9,46,37.7,36.1,28.3,25.8,32.2,69.4,-0.43
2021 Niagara,2021,281,Niagara,MAAC,11,4–7,83.4,99.9,0.1117,42.8,47.4,28.3,25.8,34.4,34.8,28.2,27.6,44.1,48.5,26.2,29.9,28.1,30.7,75.4,-6.7
2021 American,2021,248,American,Pat,11,7–4,89.3,99.5,0.2242,49.7,45.3,24,23,23.6,27.5,35.3,27.7,50.1,43.6,32.5,32.1,28.2,36.1,69.8,-3.5
2021 Hartford,2021,322,Hartford,AE,12,3–9,74.9,97,0.0485,38.4,43.6,28.1,21.5,29.1,30.1,24.2,27.8,38.5,45.4,25.3,26.7,33.8,32.8,70.9,-8.5
2021 Navy,2021,274,Navy,Pat,12,5–7,81.1,96,0.1262,42.3,42.7,26.1,22,33.2,29.3,26,25.9,42.9,40.7,27,30.8,27,36.2,70.6,-6.6
2021 Loyola MD,2021,321,Loyola MD,Pat,13,0–13,76.2,98.4,0.0502,37.1,49.2,21.5,22.6,24.3,28.5,21.6,28.4,36.8,48.2,25.2,34.5,34.9,28.5,66.7,-12.2
2021 Siena,2021,295,Siena,MAAC,13,4–9,87.2,107.7,0.0812,42.9,47.1,24.4,22.2,35.4,38.4,25.2,25,42.4,45.6,29.2,33.6,35.1,30.4,68.5,-8.4
2021 Norfolk St.,2021,303,Norfolk St.,MEAC,13,4–9,74.4,92.6,0.0742,36.5,40.3,27,27.8,33.1,39,33.5,36,34.7,41.5,26.6,25,34.9,31.5,67.6,-8.5
2021 Lafayette,2021,234,Lafayette,Pat,13,5–8,89.4,97.6,0.2691,46.5,44.3,24.6,17.2,29.2,25.3,19.2,21.9,44.7,40.4,34.1,33,29,42.4,68,-7.1
2021 William & Mary,2021,227,William & Mary,CAA,13,6–7,89.6,96.6,0.2981,44.3,42.5,22.4,22.4,26.3,36.8,28.2,33.6,43.9,45.6,29.9,23.1,41.5,28.1,66.7,-5.7
2021 Chicago St.,2021,341,Chicago St.,WAC,14,0–14,71.3,103.9,0.013,36.9,50,30.4,21.7,30.2,35.1,32.3,33.7,36.1,50.5,27.1,32.6,18.9,32.2,69,-12.4
2021 Detroit Mercy,2021,289,Detroit Mercy,Horz,14,1–13,82.6,100.5,0.0951,40.7,50.6,27.3,24.7,28.5,40.6,32.5,39.5,38.7,52.5,29.6,31.4,35.7,34.8,70.9,-10.9
2021 Delaware St.,2021,312,Delaware St.,MEAC,14,3–11,79.5,101.2,0.0584,39.1,44.4,24.2,27.8,35.8,37.9,21.8,34.3,40.4,44.5,24.2,29.5,31.2,31.5,70.8,-10.6
2021 St. Francis NY,2021,314,St. Francis NY,NEC,14,4–10,84.4,107.6,0.0577,44.5,49.8,23.1,24.6,31.5,32.5,27.8,21.4,42.9,46.8,32,37.3,32.4,33.5,70.7,-9.7
2021 Charleston,2021,252,Charleston,CAA,14,5–9,81.8,91.7,0.212,38.1,46.1,20.7,26.6,28.7,38.9,29.2,36.8,37.8,46.7,25.7,29.7,37,27.4,75.4,-7.1
2021 Incarnate Word,2021,279,Incarnate Word,Slnd,14,5–9,83.6,99.7,0.1155,43.4,47,23.5,22.6,25.7,32.5,32,30.6,43.1,48.7,29.4,28.7,35.1,30.6,68.6,-7.6
2021 Lehigh,2021,144,Lehigh,Pat,15,10–5,97.4,94.9,0.5743,48.2,44.7,16.4,18.9,21.7,24.7,22.6,20.6,45.6,46.9,34.3,26.2,45.2,28.9,73.8,-3.9
2021 Boston University,2021,141,Boston University,Pat,15,12–3,93.5,90.9,0.5803,50.7,42.8,23.5,24.8,36.7,25.2,17.3,23.3,51.6,39.5,32.6,32.7,32.8,34.9,66.4,-2.7
2021 UC Davis,2021,62,UC Davis,BW,15,13–2,97.5,82.9,0.8657,50.7,37.2,20.3,16.3,23,28,27.6,21.5,47.9,37,36.6,25,39.9,34.4,67.4,0.06
2021 North Carolina A&T,2021,192,North Carolina A&T,MEAC,15,13–2,87.4,90.8,0.3911,43.8,37.2,22.5,30.8,38.9,32.1,23.9,27.6,43.9,36.8,29,25.5,30,29.1,72.6,-1.8
2021 Coppin St.,2021,334,Coppin St.,MEAC,15,2–13,73.5,102.7,0.0208,38.3,42.3,30.7,20.9,32.6,38.7,28.6,30.6,36,41.8,27.7,29.1,41.6,28.5,68,-12.3
2021 Kennesaw St.,2021,293,Kennesaw St.,ASun,15,3–12,81.1,99.3,0.0892,41.2,48.2,26,19,36.1,30.5,27,26.2,40.2,48.5,29.9,31.8,19.9,36.2,69.3,-10.5
2021 North Carolina Central,2021,310,North Carolina Central,MEAC,15,3–12,77.7,98.1,0.0638,40.4,45.9,30.4,25.5,31,35.8,36.5,39.5,38.7,46,29.2,30.4,32.9,34.1,79,-10.6
2021 Hampton,2021,328,Hampton,BSth,15,4–11,75.1,99,0.0399,37.1,48.2,20.4,27.7,28.8,32.3,30.2,38,35.2,46.8,28,33.9,28.2,34.7,70.1,-9.7
2021 Xavier,2021,207,Xavier,BE,15,5–10,88.6,93.6,0.3475,41.4,51.4,25.9,25.5,34.6,34.1,28.6,34.4,42.3,50.5,25.9,35.5,25.5,31.3,73.8,-5.5
2021 Texas Southern,2021,311,Texas Southern,SWAC,15,5–10,78.6,99.5,0.0621,40.9,47.1,24.2,25.5,31.8,39.4,26.9,34.6,39.8,48.2,29.3,29,26,24.1,72.8,-8.9
2021 Merrimack,2021,316,Merrimack,NEC,15,5–10,83.9,107,0.0572,46.3,46.8,24.2,23.2,30.3,31.9,23.7,26.6,42.5,47.4,34.9,30.6,38.1,37.7,70.8,-9.7
2021 UC San Diego,2021,241,UC San Diego,BW,15,6–9,90.9,100,0.2494,43.8,47.4,20.4,19.5,27,29,22,23.1,38,45.7,34,33.9,44.5,33.5,69.4,-7.6
2021 Iona,2021,291,Iona,MAAC,15,6–9,77.9,95.1,0.0914,43.9,41.8,28.3,29.4,28.6,35.3,22.4,33.7,45,41.3,28.1,28.8,37.9,28.9,67.7,-8.8
2021 Elon,2021,167,Elon,CAA,15,7–8,90,90.8,0.4745,44.9,46.8,23.3,27,30.1,34.6,30.3,29,44.8,41.5,30.1,38.8,34.1,31.4,70.9,-5.6
2021 Holy Cross,2021,262,Holy Cross,Pat,15,7–8,83,95,0.1753,43.2,48.6,21.7,24.1,30.1,28.4,20.7,16.9,42.6,49,29.6,31.9,33.9,33.4,70.2,-7
2021 Hawaii,2021,181,Hawaii,BW,15,8–7,93.3,95.6,0.4281,43,43.6,22,16.1,32.5,27.5,33.6,26.1,41.1,43.4,30.4,29.3,42.3,32,67.8,-5.3
2021 Fairfield,2021,184,Fairfield,MAAC,16,11–5,91.1,93.8,0.4185,47.2,42.1,21.6,24.5,28.1,34,20.3,21.4,42.2,39.8,37.3,30.3,36.7,39.6,64.8,-4.3
2021 Saint Louis,2021,96,Saint Louis,A10,16,12–4,95.6,87,0.746,43.8,40.8,19.5,16.1,31.6,28,31.9,20,42.5,38.1,31.3,30.8,29.5,33.1,68.4,-2.1
2021 Morgan St.,2021,270,Morgan St.,MEAC,16,12–4,84.9,99,0.1455,40.4,43,25.3,28.4,37.5,39,36.7,34.4,39.1,42.9,29.8,28.7,23.7,31.7,69.4,-3.6
2021 Coastal Carolina,2021,306,Coastal Carolina,SB,16,1–15,87.3,109.3,0.0698,44.9,49.5,27.9,20.9,34.6,39.1,29.2,24.8,43.7,46.5,32.6,36.2,23.6,38.7,72.2,-13.1
2021 Prairie View A&M,2021,317,Prairie View A&M,SWAC,16,3–13,77.2,98.7,0.056,45.3,44.9,28,22.9,31.2,30.3,29,39.2,44.9,43.5,30.9,32.5,27.6,28.2,71.3,-12.5
2021 Texas A&M Corpus Chris,2021,296,Texas A&M Corpus Chris,Slnd,16,4–12,77.5,95.8,0.0799,40.5,46.9,30.1,23.4,30.8,31.3,34.9,31.8,41.4,44.5,24.5,34.2,19.4,35.1,69.4,-10.5
2021 Duquesne,2021,244,Duquesne,A10,16,5–11,89.4,98.8,0.2397,42.7,48.2,22,22.1,30.9,32,30.9,29.2,42.5,45.3,28.6,35.9,38.3,34.4,70.2,-8.9
2021 Binghamton,2021,292,Binghamton,AE,16,5–11,77.8,95.2,0.0896,42.1,41.5,25.1,23.9,28.1,34,20,29.3,42.8,42.2,26.8,26.2,25.4,22.8,69.8,-10.3
2021 Saint Joseph's,2021,194,Saint Joseph's,A10,16,6–10,90.1,94,0.3791,43.3,44.1,20.9,20.7,32.9,30.5,20.8,37.6,43,44.8,29.3,28.4,28.5,34.9,67,-7.9
2021 Oregon St.,2021,22,Oregon St.,P12,17,10–7,116.2,87.1,0.9648,52.6,43.7,20.5,13,24.6,30.3,32.7,22.3,47.4,38.1,41.3,36.6,35.4,33.4,70,3.2
2021 Alabama A&M,2021,191,Alabama A&M,SWAC,17,10–7,90.9,94.5,0.3911,46.4,42.1,23,20.7,35.6,29.4,31.2,30.1,47.6,40.4,28.7,31.6,25.9,25.2,67,-6.1
2021 Fordham,2021,95,Fordham,A10,17,12–5,96.1,87.4,0.7501,47.5,41.4,23.3,17.9,35.4,25.8,24.2,22.8,43.4,40.6,35.3,29.2,42.8,24.9,66.6,-3
2021 California,2021,205,California,P12,17,1–16,86.9,91.6,0.3517,37.8,48.4,31,16.9,35.4,36.3,31,17.3,40.2,46.8,21.1,34.5,28.5,33,67.7,-6.9
2021 Georgetown,2021,204,Georgetown,BE,17,2–15,81.3,85.6,0.3556,38.7,44.6,27.6,21.1,34.1,31.8,19.7,27.6,41.6,42.6,21.4,32,30.8,38.3,64.7,-8.7
2021 Robert Morris,2021,239,Robert Morris,Horz,17,4–13,85.8,94.4,0.2496,42.4,47.9,20.1,24,24,33.3,19.3,39.9,42.5,45.6,28.2,35.3,35.4,31.3,68.5,-10.1
2021 Arkansas St.,2021,261,Arkansas St.,SB,17,5–12,86.8,99.1,0.1779,43.2,43.9,25.8,20.8,30.3,31.6,33.1,25.4,41.9,43.5,30.4,29.9,33.1,32.7,70.8,-11
2021 Florida St.,2021,46,Florida St.,ACC,18,10–8,100.9,82.1,0.9147,44.9,44.9,21.7,22.1,32.7,32.6,28.5,26.8,43.8,45,32.1,29.8,26.9,33.1,69.3,0.7
2021 Youngstown St.,2021,163,Youngstown St.,Horz,18,10–8,97.5,98.2,0.48,51.2,46.2,22.9,18.7,27.8,28.9,28.2,24.7,51.3,45.6,34,31.5,38.6,35.7,66.8,-6.1
2021 Manhattan,2021,257,Manhattan,MAAC,18,10–8,78.6,88.7,0.1977,38.2,42.4,24.1,24.8,31.7,26.9,25.3,29,37.3,41,26.7,30.1,32.3,34,69.9,-6.4
2021 San Diego,2021,97,San Diego,WCC,18,11–7,91,83.1,0.7396,43.8,46.4,23,32.6,34.4,31.9,27.6,38.2,41.1,45.4,34.7,32.5,25.3,30.5,71.7,-4.2
2021 UT Arlington,2021,168,UT Arlington,SB,18,11–7,84.3,85.2,0.4715,44,39.4,22.9,26.3,27,31.3,27.7,31.1,41.9,39.6,32.3,25.9,32.7,29.9,69,-5.5
2021 Utah Valley,2021,197,Utah Valley,WAC,18,12–6,89.3,93.3,0.3748,46.4,43.1,24.5,20.7,30.9,26.4,31.2,21,47.1,41.1,29.9,31.5,34.7,32.5,65.6,-4.7
2021 Rutgers,2021,13,Rutgers,B10,18,14–4,112.8,81.4,0.9768,52.5,43.8,19.4,29.6,38.7,35.2,25,34.6,51.5,39,36.5,35.2,31.8,35.1,66.3,3.1
2021 New Mexico,2021,73,New Mexico,MWC,18,14–4,104.7,91.6,0.8241,52.9,44.6,16.4,21,25.5,28.3,21.1,24.9,54.6,44.6,33.8,29.6,45.1,31.7,73,-1.9
2021 Dayton,2021,86,Dayton,A10,18,14–4,98.2,88,0.7781,46.1,40.9,21.7,19.3,39,23.6,26.1,28,44.6,39.2,33.2,29.5,29.1,35.1,67.7,-2.3
2021 Illinois Chicago,2021,282,Illinois Chicago,Horz,18,2–16,82.4,98.7,0.1112,44,50.9,27,25.7,25.9,37.8,35.4,34.7,43.5,49.9,30,35.3,32.4,32.6,74.2,-13.8
2021 Monmouth,2021,336,Monmouth,MAAC,18,2–16,71.1,99.7,0.02,37,42.2,30.6,18.4,33.5,34.7,29,20.9,34.8,40.4,28.6,30.4,27,35.1,66.3,-14.5
2021 NJIT,2021,301,NJIT,AE,18,4–14,78.6,97.6,0.0765,41.2,40.3,26.3,19.7,26,33.8,31.5,28.3,40.4,37.8,28.3,30.8,39.9,29.8,71.1,-13
2021 Central Connecticut,2021,329,Central Connecticut,NEC,18,4–14,80.2,107.1,0.0347,42.3,47.1,23.3,23.3,27.3,37.7,26.5,20.9,41.4,44.2,29.3,35.9,38.5,29.9,72.7,-13.6
2021 Wichita St.,2021,148,Wichita St.,Amer,18,6–12,95.2,93.9,0.5419,44.4,43,23.7,19.8,33.4,33.6,30.1,33.9,43.8,42.3,30.7,29.4,25.8,37.7,68.2,-7.7
2021 UC Riverside,2021,213,UC Riverside,BW,18,6–12,85.9,91.2,0.3346,42.9,46.1,22.1,25.5,28.1,31.5,24.4,28,43.8,45.6,27.4,31.7,32.4,27.4,67.4,-10.1
2021 Southern Miss,2021,228,Southern Miss,CUSA,18,6–12,89.5,96.8,0.29,45.8,49.4,25,24.3,36.3,33,24.5,33.8,47.9,46.8,25.6,35.6,22.2,40.2,70.8,-9.8
2021 Albany,2021,278,Albany,AE,18,7–11,79.1,94.3,0.1173,41.9,44.4,27.7,21.9,29.5,30.5,24.5,24.5,41,41.7,29.3,34.4,30.4,26.5,64.4,-9.1
2021 LIU,2021,305,LIU,NEC,18,7–11,77.7,96.9,0.0728,40.1,45.4,24.6,27.8,36.8,31.6,27.1,34.6,38.8,45.3,28.4,30.5,35.3,35.5,69.3,-10.7
2021 Sacred Heart,2021,280,Sacred Heart,NEC,18,8–10,83.7,100.3,0.112,42.4,45.2,24.1,23.6,31.2,30.2,30.6,31.9,42.2,43.5,28.5,33,33.2,28.4,71,-8.9
2021 Cal St. Bakersfield,2021,212,Cal St. Bakersfield,BW,18,9–9,89.6,95.1,0.3355,44.8,44.6,22.5,24.1,30.5,35.2,26.1,33.2,44.4,42.1,30.4,32.5,30.9,38.2,66.9,-7.7
2021 Mississippi St.,2021,48,Mississippi St.,SEC,19,10–9,105.1,85.8,0.9114,49.4,43.2,19.8,20.3,30.7,30.6,25.7,30.6,48.8,41.8,33.9,31.2,29.8,28.9,71.3,-0.9
2021 Southern Utah,2021,179,Southern Utah,BSky,19,10–9,93.2,95.5,0.43,45.1,43.6,22.9,19.3,37.4,27.4,33.2,28.9,44.8,42,30.7,31.2,25.3,34.8,70.7,-7.2
2021 Rhode Island,2021,126,Rhode Island,A10,19,11–8,97.3,93.4,0.6159,49.8,47.8,23.1,22.1,34.4,23.8,19.4,21.7,50.1,47,32.9,32.7,37,38.7,64.2,-5.7
2021 Southeastern Louisiana,2021,211,Southeastern Louisiana,Slnd,19,11–8,90.5,95.9,0.3383,50,43.6,23,24.2,25.7,26.9,32.5,36.1,47.7,44.5,37.2,27.3,28.8,25.9,70.3,-7
2021 Colorado St.,2021,99,Colorado St.,MWC,19,13–6,100.4,91.8,0.738,49.1,43.8,14.1,16.5,22.4,25.2,18.9,23,46.2,41.9,36.7,31.8,32.8,32.4,71.1,-3.3
2021 Wagner,2021,275,Wagner,NEC,19,13–6,77,91.5,0.1215,44.2,42.9,25.2,28,26.5,31.9,25.5,32.3,43.4,42.6,31.1,29,24.1,32.1,69.4,-5.1
2021 Michigan,2021,12,Michigan,B10,19,14–5,113.2,80.9,0.9794,49,43.8,22,18,40.2,25.9,35.1,27.3,50.8,42.2,29.5,31.7,28.3,30.7,70.1,3.8
2021 Howard,2021,236,Howard,MEAC,19,15–4,83.6,91.6,0.2573,41.2,38.2,24.6,26.4,37.5,35,45.7,28.3,41.2,38.2,27.5,25.6,29.3,34,76.5,-3.5
2021 UTSA,2021,297,UTSA,CUSA,19,1–18,84.7,104.8,0.0791,39,51,21.3,22.5,33.9,39.1,29.6,30.7,38.8,52.2,26.5,32.2,24.5,32.1,69.2,-15.6
2021 Jacksonville,2021,319,Jacksonville,ASun,19,2–17,77.2,99.6,0.0506,38.4,47.8,21.9,19,29.1,31,26.7,31.6,38.3,48.1,25.8,31.6,33.5,37.4,71,-14.1
2021 East Tennessee St.,2021,304,East Tennessee St.,SC,19,3–16,78.7,98.2,0.073,39.6,46,25.6,26.1,31.9,35.2,29.6,33.4,40.6,44.3,25.2,32.8,36.4,35.2,72.4,-14.4
2021 Memphis,2021,198,Memphis,Amer,19,4–15,88.7,92.8,0.3745,42.1,45.4,29,19.2,38.3,31.6,26.2,25.5,42.9,44.7,26.4,31.3,24.8,32.8,72.2,-10.9
2021 Pittsburgh,2021,106,Pittsburgh,ACC,19,5–14,97.8,90.3,0.7143,43.2,45.1,24.8,20.1,38,36,26.8,33.9,41.7,41.3,30.8,34.9,32.8,34.8,71.5,-5.3
2021 Tulsa,2021,160,Tulsa,Amer,19,5–14,89,89.4,0.4867,38.4,46.6,18.4,24.7,25.9,33.8,23.9,27.9,35.5,45.5,29.5,32.8,33.3,29.6,69.1,-8.5
2021 Boston College,2021,76,Boston College,ACC,19,7–12,101.3,88.9,0.8189,43.9,49.6,22,25.5,36,35.4,22.3,29.1,41.5,52.2,32.5,29.1,33.2,30.9,72,-3.2
2021 Northern Kentucky,2021,120,Northern Kentucky,Horz,19,8–11,95.3,90.7,0.6365,45.7,44.8,22.6,19,32.2,27.5,30.3,27.5,45.2,46,31,28.2,35.6,33.7,69.8,-7.1
2021 Marshall,2021,147,Marshall,CUSA,19,8–11,90.1,88.5,0.5528,43,43.3,22.4,21.5,30.5,30.7,29.4,32.5,43.8,44.4,27.9,27.7,38,38.4,65.9,-7.3
2021 Houston Christian,2021,276,Houston Christian,Slnd,19,8–11,85,100.9,0.1213,40.9,43.2,21,23.9,29.9,34.1,33.9,34.8,39.2,42.3,30.1,31.1,27.9,20.9,69.6,-9.7
2021 Colorado,2021,42,Colorado,P12,19,9–10,102.6,83,0.9192,46.6,47.6,23.2,24.8,34.2,30.1,32.1,25.3,45.7,47.5,32.5,31.7,30.3,41.5,68.4,-0.8
2021 Abilene Christian,2021,226,Abilene Christian,Slnd,19,9–10,94.1,101.3,0.3003,49.9,46.4,28.3,19.4,33.3,31.6,32.3,24,53.3,45.7,30.6,32.2,46.6,29.7,67.6,-7.5
2021 Notre Dame,2021,49,Notre Dame,ACC,20,10–10,105.7,86.8,0.9054,50.2,47.7,23.7,21.8,30.5,34.4,26.8,22.8,49.3,46.7,35.2,32.8,26.3,39.8,71.7,-0.4
2021 Charlotte,2021,107,Charlotte,CUSA,20,10–10,100.9,93.7,0.7028,46.5,43.7,18.3,17.3,30.2,30.3,38,32.8,46.9,44.3,30.1,28.3,25.2,30.6,72.3,-7
2021 Eastern Michigan,2021,133,Eastern Michigan,MAC,20,10–10,87.1,84.3,0.5901,41.7,42.4,20.7,23.1,29,26.2,29.3,38.8,42.5,40.8,26.5,30.2,30.6,34.7,71.9,-6.9
2021 Lipscomb,2021,245,Lipscomb,ASun,20,10–10,85.7,94.9,0.2374,44.6,47.2,21.7,19,23,25.9,21.2,31,45.4,43.9,29.1,34,46.3,46.9,71.1,-6.2
2021 Grambling St.,2021,249,Grambling St.,SWAC,20,10–10,84.7,94.5,0.2211,43.8,44.2,24,26.6,31.1,35.4,35.8,44.7,44.3,43.4,28.4,30.9,30.1,26.2,71.8,-8.6
2021 Long Beach St.,2021,142,Long Beach St.,BW,20,11–9,93.4,90.8,0.5794,44.3,47.2,18.9,26.3,29.7,30.8,30.8,28.3,46.3,46.6,26.9,32.1,34.2,39.9,68.7,-7
2021 Nevada,2021,149,Nevada,MWC,20,11–9,91.5,90.2,0.5416,41.3,44.1,20.6,19.6,35.7,28.7,23.2,25.7,42,44.8,26.2,28.5,25.8,32.3,67.9,-6.5
2021 Kent St.,2021,158,Kent St.,MAC,20,11–9,96.4,96.1,0.5106,45.7,48.9,22.6,18.3,36.1,26,35.6,32.8,41.7,47.2,34.9,35.2,37.9,30.3,68.5,-5.6
2021 Cleveland St.,2021,180,Cleveland St.,Horz,20,11–9,86,88.2,0.4286,43.4,44.4,22.1,25.8,27.5,30.7,36,25.8,43.2,44,29.3,30.1,34.3,34.3,73.2,-6.1
2021 Sam Houston St.,2021,165,Sam Houston St.,Slnd,20,12–8,90.4,91.1,0.4776,44.9,46.5,25.7,28.9,36.4,31.4,44.2,40.8,45.9,47.9,27.2,27.4,21.1,20.3,78.2,-5.1
2021 Ohio St.,2021,18,Ohio St.,B10,20,13–7,111,82.1,0.9696,48.8,43.9,16.5,21.5,31.1,31.5,32,30.6,48.9,46.8,32.4,24.9,31.5,30.2,74.8,2.5
2021 Illinois St.,2021,72,Illinois St.,MVC,20,13–7,98.4,85.6,0.8323,50.5,44.3,21.2,23.6,23.8,24.7,36.2,26.5,48.4,42.7,36.7,31.2,31.8,39,68.9,-3.2
2021 North Texas,2021,108,North Texas,CUSA,20,13–7,97.4,90.4,0.7015,44.7,44.6,19.1,23.9,32.9,32,27.9,32.1,43.3,46.4,32,26.4,29.9,26.1,73.9,-3.1
2021 IU Indy,2021,53,IU Indy,Horz,20,15–5,100.9,84,0.8916,50.9,44,22.9,24,34.1,22.9,32.5,22.5,49.1,46.6,36.4,25.8,32.9,33.7,68.9,-2.5
2021 Stony Brook,2021,127,Stony Brook,AE,20,15–5,90.5,87,0.6115,44.8,40.1,24.1,27.2,36.4,26.6,30.1,26.7,46.7,38,26.7,29.6,28,32.3,66.4,-3.8
2021 UCF,2021,38,UCF,Amer,20,16–4,94.1,75.1,0.9304,44.9,38.6,27.6,29.1,36.5,32,35.2,27,43,35.3,34.8,29.6,19.8,36.1,65.5,1.5
2021 Alabama St.,2021,188,Alabama St.,SWAC,20,16–4,94.6,98,0.4015,49.4,41.1,24.4,23.8,36,32.1,43.3,36.8,47.5,41.8,36.3,26.1,28,26.8,72.5,-3.3
2021 Maine,2021,105,Maine,AE,20,17–3,96.9,89.4,0.7166,49.2,41.4,18.6,27.1,26.7,29.3,20.7,28.4,49.4,40.8,32.5,28.5,39.2,31.1,68.5,-2
2021 Northwestern St.,2021,342,Northwestern St.,Slnd,20,1–19,67.2,110.2,0.0034,35,51.7,30.3,22.6,29.5,45.6,26.9,32.4,34.8,49.6,23.5,38,38.5,28.7,69.9,-16
2021 Butler,2021,242,Butler,BE,20,3–17,91,100.3,0.247,42.8,52.5,25.3,19.5,26.3,38.6,26.1,20.8,39.4,52,31.7,35.4,42.4,41.6,68.8,-9.6
2021 Mississippi Valley St.,2021,333,Mississippi Valley St.,SWAC,20,4–16,80.3,112.2,0.0209,40.3,50.1,23.7,19.4,31.5,35.1,37.1,24.1,39.3,50.6,29.2,32.9,20.3,35.8,66.8,-14.4
2021 Oral Roberts,2021,246,Oral Roberts,Sum,20,5–15,86.7,96.2,0.234,41.5,49.7,21.9,20.6,24.3,34.7,32.6,33.4,36.8,48.3,33.2,34.9,36.3,35.2,75.8,-8.6
2021 Indiana St.,2021,256,Indiana St.,MVC,20,5–15,91.1,102.8,0.1985,41.7,52.6,21.2,20.6,31.6,31.5,27.5,33.3,40.6,52.4,29.7,35.2,28.8,35.5,70.9,-11.7
2021 New Hampshire,2021,325,New Hampshire,AE,20,5–15,79.5,103.7,0.0451,37.4,48.1,24.5,23,29.8,32.9,28.7,29.7,36.1,48,27.1,32.2,28.2,34.2,69.2,-13.6
2021 Akron,2021,195,Akron,MAC,20,6–14,89.2,93.2,0.3778,47.2,47.4,21.7,21.2,18.4,35,21.2,30.9,45.8,47.5,33.3,31.6,35.1,32.7,73.1,-10.8
2021 UT Rio Grande Valley,2021,290,UT Rio Grande Valley,WAC,20,6–14,86.5,105.4,0.0944,43.7,46.4,23.8,17,29.8,30.8,29,30,44.6,46,28.3,31.5,41.6,31,70,-12.5
2021 Northeastern,2021,206,Northeastern,CAA,20,7–13,92.9,98.1,0.3489,48,46.4,25.7,24,30.8,37.2,23.3,32.8,46.1,43.6,34,34.6,38.6,34.4,66.5,-10.8
