year,high_team,high_seed,high_region,low_team,low_seed,low_region,wab,barthag,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo
2026,UCLA,1,Region 2,Connecticut,1,Region 1,1.1208248935920757,-0.0007648945989798817,-0.8969688897062724,-3.212738421790874,-2.3999999999999986,-0.8999999999999986,-47.599999999999994,61.2,-27.199999999999996,39.599999999999994,-54.1,62.599999999999994,-2.6000000000000014,-0.5,-34.900000000000006,32.0,-25.5,30.000000000000007,-4.705982120875291
2026,Texas,1,Region 3,Connecticut,1,Region 1,-1.6141745104157668,-0.0013187944693102693,-10.219371174509135,-0.39636762066788833,-7.0,-1.3000000000000043,-50.699999999999996,50.099999999999994,-30.0,36.7,-48.7,46.900000000000006,-6.200000000000003,-1.2999999999999972,-41.10000000000001,32.099999999999994,-39.400000000000006,34.6,-0.6797970823222528
2026,South Carolina,1,Region 4,Connecticut,1,Region 1,-1.290172180834146,-0.001445719123356226,-10.160879730332667,-0.8735185359787749,-4.800000000000004,1.7999999999999972,-48.5,56.599999999999994,-31.099999999999994,34.89999999999999,-47.0,63.3,-5.399999999999999,2.3999999999999986,-35.7,33.599999999999994,-32.400000000000006,30.6,-0.9725133471124963
2026,Connecticut,1,Region 1,LSU,2,Region 4,4.5866558088333935,0.0024270311830810742,5.4391736809676985,7.082146675235251,0.20000000000000284,4.899999999999999,-53.89999999999999,47.4,-37.7,22.4,-53.8,45.300000000000004,-1.5,5.600000000000001,-31.700000000000003,35.60000000000001,-22.5,37.2,-4.153433686158124
2026,Connecticut,1,Region 1,Michigan,2,Region 1,2.7221840370952366,0.003982730691804659,3.8021262920019865,14.481525089257985,4.800000000000004,7.399999999999999,-52.099999999999994,47.3,-37.7,29.199999999999996,-49.3,44.800000000000004,4.0,6.700000000000003,-29.099999999999994,39.50000000000001,-28.699999999999996,27.3,-1.6888673669154315
2026,Connecticut,1,Region 1,Duke,4,Region 4,5.232867367459973,0.0067140554300068045,2.6619161240238896,21.208414054917498,1.2000000000000028,11.0,-58.2,46.099999999999994,-35.89999999999999,36.199999999999996,-57.3,49.7,1.7000000000000028,11.799999999999997,-33.0,39.800000000000004,-39.4,28.200000000000003,0.9223547906028671
2026,Connecticut,1,Region 1,Minnesota,7,Region 4,6.638428540193376,0.007603472693422431,5.807520344912234,17.58889462209237,3.200000000000003,9.800000000000004,-56.89999999999999,51.199999999999996,-40.099999999999994,35.699999999999996,-56.7,58.300000000000004,2.0,11.299999999999997,-30.0,37.800000000000004,-23.0,27.8,5.985189157664138
2026,Connecticut,1,Region 1,Louisville,2,Region 3,3.395432585776243,0.00907250666257986,7.648571503838866,16.54631805382793,3.200000000000003,9.100000000000001,-58.2,48.599999999999994,-39.39999999999999,34.199999999999996,-57.099999999999994,55.5,5.399999999999999,9.399999999999999,-33.8,39.2,-29.4,24.4,1.2087407205163458
2026,Connecticut,1,Region 1,Maryland,5,Region 1,5.756994597264907,0.009257035494297239,8.25134040851114,15.844445214805873,3.200000000000003,9.200000000000003,-55.8,45.0,-35.599999999999994,28.699999999999996,-56.0,47.4,1.0,9.100000000000001,-28.5,39.900000000000006,-28.699999999999996,25.8,0.23926608998870336
2026,Connecticut,1,Region 1,Oklahoma,4,Region 2,6.458627526149305,0.01010637334896547,4.06502782670826,22.93505964842413,-2.1000000000000014,9.899999999999999,-59.3,46.9,-38.7,34.199999999999996,-50.099999999999994,52.6,-3.200000000000003,8.799999999999997,-33.3,41.800000000000004,-30.699999999999996,25.1,-6.237089901159948
2026,Connecticut,1,Region 1,TCU,3,Region 1,6.072959646780253,0.010927407598351424,4.033392336076105,23.717525961262496,-3.1999999999999957,4.800000000000004,-60.099999999999994,45.9,-39.099999999999994,38.4,-54.900000000000006,56.400000000000006,-4.400000000000006,4.0,-33.39999999999999,37.400000000000006,-35.50000000000001,16.800000000000004,2.876682012967592
2026,Connecticut,1,Region 1,Vanderbilt,2,Region 2,3.6058155917022177,0.012327733205545477,13.290233230216216,11.335515687137189,7.100000000000001,5.599999999999994,-52.7,48.4,-31.200000000000003,34.0,-58.0,53.5,6.399999999999999,6.200000000000003,-27.599999999999994,36.50000000000001,-29.4,17.1,1.1968342506252725
2026,Connecticut,1,Region 1,Tennessee,4,Region 1,5.908989302419792,0.012630456636462006,6.281444237200304,21.80065835899005,4.399999999999999,12.600000000000001,-54.7,46.099999999999994,-32.89999999999999,34.099999999999994,-54.099999999999994,53.1,4.200000000000003,10.700000000000003,-29.799999999999997,43.2,-35.1,11.5,-2.1805458613028463
2026,Connecticut,1,Region 1,USC,9,Region 1,6.699160339652184,0.012688226187172802,2.3952053030268843,27.50379751508281,1.3999999999999986,14.0,-57.89999999999999,46.5,-32.8,37.699999999999996,-53.599999999999994,55.400000000000006,2.5,14.0,-34.0,42.800000000000004,-36.699999999999996,19.300000000000004,2.374735601931448
2026,Connecticut,1,Region 1,Iowa,3,Region 3,4.049701638834152,0.012905890512158402,9.24798380516036,17.694631746816853,6.399999999999999,5.899999999999999,-61.7,45.9,-40.599999999999994,37.89999999999999,-59.900000000000006,49.5,5.100000000000001,5.899999999999999,-27.39999999999999,37.50000000000001,-27.9,24.5,0.9399389944760514
