game_id,year,region,round,high_bracket_team,low_bracket_team,high_bracket_seed,low_bracket_seed,win,wab,barthag,adj_tempo,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd
20211101,2021,East,First Round,2021 Utah Valley,2021 Stanford,16,1,0,-17.0,-0.6234999999999999,-4.900000000000006,18.899999999999977,29.30000000000001,9.199999999999989,10.099999999999994,2.0,-2.200000000000003,4.800000000000011,12.099999999999994,6.1000000000000085,-0.4000000000000057,10.900000000000006,11.0,3.9000000000000057,5.400000000000006,-0.29999999999999716,3.4000000000000057
20221101,2022,South,First Round,2022 Howard,2022 South Carolina,16,1,0,-22.8,-0.7805,5.200000000000003,15.600000000000023,20.599999999999994,4.799999999999997,7.5,4.099999999999994,-3.5,10.699999999999989,12.900000000000006,16.200000000000003,-2.5,7.400000000000006,7.799999999999997,-1.9000000000000057,4.699999999999989,6.800000000000011,-9.0
20231101,2023,South,First Round,2023 Norfolk St.,2023 South Carolina,16,1,0,-19.2,-0.5174000000000001,0.7000000000000028,10.0,43.80000000000001,6.900000000000006,13.199999999999989,5.299999999999997,-13.200000000000003,11.900000000000006,16.19999999999999,10.599999999999994,-0.20000000000000284,10.099999999999994,14.799999999999997,-1.0999999999999943,6.0,2.4000000000000057,-20.80000000000001
20241101,2024,South,First Round,2024 Presbyterian,2024 South Carolina,16,1,0,-25.7,-0.8928999999999999,-6.200000000000003,7.599999999999994,25.099999999999994,9.099999999999994,9.599999999999994,4.400000000000006,-3.9000000000000057,-1.5,12.299999999999997,2.5,6.700000000000003,10.599999999999994,8.0,3.6999999999999886,9.600000000000009,2.700000000000003,-8.800000000000011
20251101b,2025,South,First Round,2025 Southern,2025 UCLA,16,1,0,-21.4,-0.5301,-3.299999999999997,9.600000000000023,35.69999999999999,0.20000000000000284,9.300000000000011,0.6999999999999886,-6.599999999999994,2.5999999999999943,6.8999999999999915,7.900000000000006,-16.900000000000006,0.0,10.799999999999997,0.5999999999999943,4.299999999999997,-1.1000000000000085,1.5
20211201,2021,West,First Round,2021 Mercer,2021 South Carolina,16,1,0,-13.8,-0.4697,-2.799999999999997,21.5,18.69999999999999,4.099999999999994,4.099999999999994,-4.400000000000006,-6.800000000000011,7.799999999999997,9.0,1.0999999999999943,-2.299999999999997,2.4000000000000057,2.5,6.799999999999997,6.300000000000011,-2.5,-7.900000000000006
20221201,2022,Midwest,First Round,2022 Albany,2022 Louisville,16,1,0,-16.1,-0.4907,-5.199999999999996,10.400000000000006,27.80000000000001,5.400000000000006,9.700000000000003,-0.8000000000000114,-5.0,9.400000000000006,7.900000000000006,-5.0,-0.30000000000001137,5.099999999999994,9.099999999999994,3.799999999999997,7.800000000000011,2.5999999999999943,-2.4000000000000057
20231201,2023,Midwest,First Round,2023 Tennessee Tech,2023 Indiana,16,1,0,-16.6,-0.5693,-2.799999999999997,16.5,20.0,4.799999999999997,10.900000000000006,-1.9000000000000057,-5.800000000000011,6.599999999999994,-2.5999999999999943,2.1000000000000085,-4.700000000000003,5.599999999999994,8.599999999999994,1.8999999999999915,11.400000000000006,2.6999999999999886,5.299999999999997
20241201,2024,Midwest,First Round,2024 Drexel,2024 Texas,16,1,0,-20.3,-0.4917,-7.999999999999993,14.599999999999994,30.30000000000001,0.5,8.599999999999994,-7.0,-6.200000000000003,4.299999999999997,9.600000000000009,-8.799999999999997,10.099999999999994,1.5,8.599999999999994,-0.9000000000000057,6.400000000000006,-5.5,-11.200000000000003
20251201b,2025,Midwest,First Round,2025 Tennessee Tech,2025 South Carolina,16,1,0,-19.8,-0.358,-0.6000000000000085,26.700000000000017,30.0,9.200000000000003,5.299999999999997,0.7999999999999972,-4.900000000000006,3.700000000000003,10.099999999999994,15.800000000000011,-1.4000000000000057,7.900000000000006,5.5,6.699999999999989,3.0999999999999943,9.399999999999991,0.4000000000000057
20211301,2021,South,First Round,2021 North Carolina A&T,2021 North Carolina St.,16,1,0,-9.9,-0.5971,2.5999999999999943,9.400000000000006,23.80000000000001,1.7999999999999972,15.099999999999994,4.400000000000006,-12.900000000000006,13.900000000000006,-0.8999999999999915,5.199999999999989,-1.3999999999999915,3.9000000000000057,14.900000000000006,-1.2999999999999972,10.299999999999997,-6.599999999999994,2.5
20221301,2022,West,First Round,2022 Montana St.,2022 Stanford,16,1,0,-21.6,-0.45799999999999996,-0.20000000000000284,21.5,20.600000000000023,4.400000000000006,3.0999999999999943,-5.5,-3.8000000000000114,2.5999999999999943,5.700000000000003,3.5999999999999943,-4.299999999999997,6.699999999999989,1.9000000000000057,-1.5,3.5999999999999943,7.599999999999994,-5.5
20231301,2023,West,First Round,2023 Chattanooga,2023 Virginia Tech,16,1,0,-18.6,-0.4426,-2.6000000000000085,8.5,30.30000000000001,5.300000000000011,8.299999999999997,1.7000000000000028,-0.5999999999999943,-0.7999999999999972,9.0,6.5,4.099999999999994,5.300000000000011,9.300000000000011,3.200000000000003,3.6999999999999886,7.400000000000006,10.900000000000006
20241301,2024,East,First Round,2024 Holy Cross,2024 Iowa,16,1,0,-20.6,-0.5583,-9.699999999999989,5.800000000000011,35.5,-1.4000000000000057,18.099999999999994,0.4000000000000057,-0.7000000000000028,6.699999999999989,6.1000000000000085,0.5999999999999943,2.5,-3.0999999999999943,19.299999999999997,1.7000000000000028,11.400000000000006,-8.400000000000006,13.900000000000006
