team_id,year,team,region,seed,finish,weekend,torvik_id
2025 Michigan St.,2025,Michigan St.,East,7,Second Round,1,2025 Michigan St.
2025 Richmond,2025,Richmond,East,8,Second Round,1,2025 Richmond
2025 Kentucky,2025,Kentucky,South,4,Second Round,1,2025 Kentucky
2025 Iowa,2025,Iowa,South,6,Second Round,1,2025 Iowa
2025 Mississippi St.,2025,Mississippi St.,South,9,Second Round,1,2025 Mississippi St.
2025 South Dakota St.,2025,South Dakota St.,South,10,Second Round,1,2025 South Dakota St.
2025 Alabama,2025,Alabama,Midwest,5,Second Round,1,2025 Alabama
2025 West Virginia,2025,West Virginia,Midwest,6,Second Round,1,2025 West Virginia
2025 Indiana,2025,Indiana,Midwest,9,Second Round,1,2025 Indiana
2025 Oregon,2025,Oregon,Midwest,10,Second Round,1,2025 Oregon
2025 Ohio St.,2025,Ohio St.,West,4,Second Round,1,2025 Ohio St.
2025 Michigan,2025,Michigan,West,6,Second Round,1,2025 Michigan
2025 Louisville,2025,Louisville,West,7,Second Round,1,2025 Louisville
2025 Illinois,2025,Illinois,West,8,Second Round,1,2025 Illinois
2021 Baylor,2021,Baylor,East,2,Elite Eight,2,2021 Baylor
2021 Texas,2021,Texas,South,6,Elite Eight,2,2021 Texas
2021 Indiana,2021,Indiana,Midwest,4,Elite Eight,2,2021 Indiana
2021 Louisville,2021,Louisville,West,2,Elite Eight,2,2021 Louisville
2022 North Carolina St.,2022,North Carolina St.,East,1,Elite Eight,2,2022 N.C. State
2022 Creighton,2022,Creighton,South,10,Elite Eight,2,2022 Creighton
2022 Michigan,2022,Michigan,Midwest,3,Elite Eight,2,2022 Michigan
2022 Texas,2022,Texas,West,2,Elite Eight,2,2022 Texas
2023 Maryland,2023,Maryland,East,2,Elite Eight,2,2023 Maryland
2023 Ohio St.,2023,Ohio St.,South,3,Elite Eight,2,2023 Ohio St.
2023 Miami FL,2023,Miami FL,Midwest,9,Elite Eight,2,2023 Miami FL
2023 Louisville,2023,Louisville,West,5,Elite Eight,2,2023 Louisville
2024 Oregon St.,2024,Oregon St.,East,3,Elite Eight,2,2024 Oregon St.
2024 Texas,2024,Texas,South,1,Elite Eight,2,2024 Texas
2024 LSU,2024,LSU,Midwest,3,Elite Eight,2,2024 LSU
2024 USC,2024,USC,West,1,Elite Eight,2,2024 USC
2025 LSU,2025,LSU,East,3,Elite Eight,2,2025 LSU
2025 USC,2025,USC,South,1,Elite Eight,2,2025 USC
2025 Duke,2025,Duke,Midwest,2,Elite Eight,2,2025 Duke
2025 TCU,2025,TCU,West,2,Elite Eight,2,2025 TCU
2021 Iowa,2021,Iowa,East,5,Sweet 16,2,2021 Iowa
2021 Michigan,2021,Michigan,East,6,Sweet 16,2,2021 Michigan
2021 Maryland,2021,Maryland,South,2,Sweet 16,2,2021 Maryland
2021 Georgia Tech,2021,Georgia Tech,South,5,Sweet 16,2,2021 Georgia Tech
2021 North Carolina St.,2021,North Carolina St.,Midwest,1,Sweet 16,2,2021 N.C. State
2021 Texas A&M,2021,Texas A&M,Midwest,2,Sweet 16,2,2021 Texas A&M
2021 Missouri St.,2021,Missouri St.,West,5,Sweet 16,2,2021 Missouri St.
2021 Oregon,2021,Oregon,West,6,Sweet 16,2,2021 Oregon
2022 Indiana,2022,Indiana,East,3,Sweet 16,2,2022 Indiana
2022 Notre Dame,2022,Notre Dame,East,5,Sweet 16,2,2022 Notre Dame
2022 Iowa St.,2022,Iowa St.,South,3,Sweet 16,2,2022 Iowa St.
2022 North Carolina,2022,North Carolina,South,5,Sweet 16,2,2022 North Carolina
2022 Tennessee,2022,Tennessee,Midwest,4,Sweet 16,2,2022 Tennessee
2022 South Dakota,2022,South Dakota,Midwest,10,Sweet 16,2,2022 South Dakota
2022 Maryland,2022,Maryland,West,4,Sweet 16,2,2022 Maryland
2022 Ohio St.,2022,Ohio St.,West,6,Sweet 16,2,2022 Ohio St.
2023 Notre Dame,2023,Notre Dame,East,3,Sweet 16,2,2023 Notre Dame
2023 UCLA,2023,UCLA,East,4,Sweet 16,2,2023 UCLA
2023 Connecticut,2023,Connecticut,South,2,Sweet 16,2,2023 Connecticut
2023 Tennessee,2023,Tennessee,South,4,Sweet 16,2,2023 Tennessee
2023 Utah,2023,Utah,Midwest,2,Sweet 16,2,2023 Utah
2023 Villanova,2023,Villanova,Midwest,4,Sweet 16,2,2023 Villanova
2023 Colorado,2023,Colorado,West,6,Sweet 16,2,2023 Colorado
2023 Mississippi,2023,Mississippi,West,8,Sweet 16,2,2023 Mississippi
2024 Notre Dame,2024,Notre Dame,East,2,Sweet 16,2,2024 Notre Dame
2024 Indiana,2024,Indiana,East,4,Sweet 16,2,2024 Indiana
2024 Stanford,2024,Stanford,South,2,Sweet 16,2,2024 Stanford
2024 Gonzaga,2024,Gonzaga,South,4,Sweet 16,2,2024 Gonzaga
2024 UCLA,2024,UCLA,Midwest,2,Sweet 16,2,2024 UCLA
2024 Colorado,2024,Colorado,Midwest,5,Sweet 16,2,2024 Colorado
2024 Baylor,2024,Baylor,West,5,Sweet 16,2,2024 Baylor
2024 Duke,2024,Duke,West,7,Sweet 16,2,2024 Duke
2025 North Carolina St.,2025,North Carolina St.,East,2,Sweet 16,2,2025 N.C. State
2025 Mississippi,2025,Mississippi,East,5,Sweet 16,2,2025 Mississippi
2025 Oklahoma,2025,Oklahoma,South,3,Sweet 16,2,2025 Oklahoma
2025 Kansas St.,2025,Kansas St.,South,5,Sweet 16,2,2025 Kansas St.
2025 North Carolina,2025,North Carolina,Midwest,3,Sweet 16,2,2025 North Carolina
2025 Maryland,2025,Maryland,Midwest,4,Sweet 16,2,2025 Maryland
2025 Notre Dame,2025,Notre Dame,West,3,Sweet 16,2,2025 Notre Dame
2025 Tennessee,2025,Tennessee,West,5,Sweet 16,2,2025 Tennessee
2021 Stanford,2021,Stanford,West,1,Champion,3,2021 Stanford
2022 South Carolina,2022,South Carolina,South,1,Champion,3,2022 South Carolina
2023 LSU,2023,LSU,Midwest,3,Champion,3,2023 LSU
2024 South Carolina,2024,South Carolina,East,1,Champion,3,2024 South Carolina
2025 Connecticut,2025,Connecticut,South,2,Champion,3,2025 Connecticut
2021 Connecticut,2021,Connecticut,East,1,Final Four,3,2021 Connecticut
2021 South Carolina,2021,South Carolina,South,1,Final Four,3,2021 South Carolina
2022 Louisville,2022,Louisville,Midwest,1,Final Four,3,2022 Louisville
2022 Stanford,2022,Stanford,West,1,Final Four,3,2022 Stanford
2023 South Carolina,2023,South Carolina,East,1,Final Four,3,2023 South Carolina
2023 Virginia Tech,2023,Virginia Tech,South,1,Final Four,3,2023 Virginia Tech
2024 North Carolina St.,2024,North Carolina St.,South,3,Final Four,3,2024 N.C. State
2024 Connecticut,2024,Connecticut,West,3,Final Four,3,2024 Connecticut
2025 UCLA,2025,UCLA,East,1,Final Four,3,2025 UCLA
2025 Texas,2025,Texas,West,1,Final Four,3,2025 Texas
2021 Arizona,2021,Arizona,Midwest,3,Runner Up,3,2021 Arizona
2022 Connecticut,2022,Connecticut,East,2,Runner Up,3,2022 Connecticut
2023 Iowa,2023,Iowa,West,2,Runner Up,3,2023 Iowa
2024 Iowa,2024,Iowa,Midwest,1,Runner Up,3,2024 Iowa
2025 South Carolina,2025,South Carolina,Midwest,1,Runner Up,3,2025 South Carolina
