year,game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,win_prob_raw,win_prob
2021,r1_r3_g04,Round 1,Region 3,13,VCU,Region 3,4,Indiana,0.033220663521248285,0.032972001634169676
2021,r1_r3_g05,Round 1,Region 3,12,Belmont,Region 3,5,Gonzaga,0.06997965639734217,0.06822637362768456
2021,r1_r3_g06,Round 1,Region 3,11,BYU,Region 3,6,Rutgers,0.23414208084571386,0.2192220306719257
2021,r1_r3_g07,Round 1,Region 3,10,Michigan St.,Region 3,7,Iowa St.,0.4558511506401654,0.39875164688230336
2021,r1_r3_g08,Round 1,Region 3,9,Washington St.,Region 3,8,South Florida,0.5320152413331733,0.49915489910733685
2021,r1_r4_g01,Round 1,Region 4,16,Mercer,Region 4,1,South Carolina,0.005846946792508321,0.005838338379671164
2021,r1_r4_g02,Round 1,Region 4,15,Mount St. Mary's,Region 4,2,Maryland,0.003818706413140327,0.0038109349888038324
2021,r1_r4_g03,Round 1,Region 4,14,Wyoming,Region 4,3,UCLA,0.01335905493609652,0.013320406944082286
2021,r1_r4_g04,Round 1,Region 4,13,Lehigh,Region 4,4,West Virginia,0.04034428688520973,0.03978645924099678
2021,r1_r4_g05,Round 1,Region 4,12,Stephen F. Austin,Region 4,5,Georgia Tech,0.41863519028804386,0.3850769215672707
2021,r1_r4_g06,Round 1,Region 4,11,Bradley,Region 4,6,Texas,0.12550414207807717,0.12135761660172005
2021,r1_r4_g07,Round 1,Region 4,10,North Carolina,Region 4,7,Alabama,0.5127385555513144,0.44941680036620407
2021,r1_r4_g08,Round 1,Region 4,9,Florida St.,Region 4,8,Oregon St.,0.2788971000865776,0.2588727499255043
2021,r2_r1_g01,Round 2,Region 1,1,Stanford,Region 1,8,Oklahoma St.,0.9758459239340862,0.9679483826447031
2021,r2_r1_g01,Round 2,Region 1,1,Stanford,Region 1,9,Wake Forest,0.9915376309863217,0.9864370510780764
2021,r2_r1_g01,Round 2,Region 1,16,Utah Valley,Region 1,8,Oklahoma St.,0.02684717813509904,0.026750133773196835
2021,r2_r1_g01,Round 2,Region 1,16,Utah Valley,Region 1,9,Wake Forest,0.07408260738110271,0.07264629591098667
2021,r2_r1_g02,Round 2,Region 1,2,Louisville,Region 1,7,Northwestern,0.798107927836557,0.7443790226403993
2021,r2_r1_g02,Round 2,Region 1,2,Louisville,Region 1,10,UCF,0.8889325339161368,0.8694793982831218
2021,r2_r1_g02,Round 2,Region 1,15,Marist,Region 1,7,Northwestern,0.07471963423578362,0.07423881654622265
2021,r2_r1_g02,Round 2,Region 1,15,Marist,Region 1,10,UCF,0.14051961142117497,0.14218520902476614
2021,r2_r1_g03,Round 2,Region 1,3,Georgia,Region 1,6,Oregon,0.30392716523795416,0.285682899297876
2021,r2_r1_g03,Round 2,Region 1,3,Georgia,Region 1,11,South Dakota,0.655386346318657,0.620994310341802
2021,r2_r1_g03,Round 2,Region 1,14,Drexel,Region 1,6,Oregon,0.014340407765386441,0.014269523038928351
