year,game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,win_prob_raw,win_prob
2022,r5_r5_g01,Final Four,Region 4,12,Belmont,Region 1,9,South Florida,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,13,Buffalo,Region 1,9,South Florida,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,14,American,Region 1,9,South Florida,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,15,Hawaii,Region 1,9,South Florida,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,16,Albany,Region 1,9,South Florida,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,1,Louisville,Region 1,10,Creighton,0.6507971882820129,0.7887540957890401
2022,r5_r5_g01,Final Four,Region 4,2,Baylor,Region 1,10,Creighton,0.6507971882820129,0.81149614553703
2022,r5_r5_g01,Final Four,Region 4,3,Michigan,Region 1,10,Creighton,0.6507971882820129,0.7887540957890401
2022,r5_r5_g01,Final Four,Region 4,4,Tennessee,Region 1,10,Creighton,0.6879229545593262,0.7730804195925983
2022,r5_r5_g01,Final Four,Region 4,5,Oregon,Region 1,10,Creighton,0.6507971882820129,0.7887540957890401
2022,r5_r5_g01,Final Four,Region 4,6,BYU,Region 1,10,Creighton,0.6507971882820129,0.81149614553703
2022,r5_r5_g01,Final Four,Region 4,7,Mississippi,Region 1,10,Creighton,0.6075882911682129,0.687078415340629
2022,r5_r5_g01,Final Four,Region 4,8,Nebraska,Region 1,10,Creighton,0.6507971882820129,0.7887540957890401
2022,r5_r5_g01,Final Four,Region 4,9,Gonzaga,Region 1,10,Creighton,0.6522461771965027,0.7891244244317025
2022,r5_r5_g01,Final Four,Region 4,10,South Dakota,Region 1,10,Creighton,0.6507971882820129,0.7887540957890401
2022,r5_r5_g01,Final Four,Region 4,11,Villanova,Region 1,10,Creighton,0.20312316715717316,0.2518107824998501
2022,r5_r5_g01,Final Four,Region 4,12,Belmont,Region 1,10,Creighton,0.1742979735136032,0.21124590421095993
2022,r5_r5_g01,Final Four,Region 4,13,Buffalo,Region 1,10,Creighton,0.15117481350898743,0.18850385446296997
2022,r5_r5_g01,Final Four,Region 4,14,American,Region 1,10,Creighton,0.20358730852603912,0.21382679675023644
2022,r5_r5_g01,Final Four,Region 4,15,Hawaii,Region 1,10,Creighton,0.15117481350898743,0.18850385446296997
2022,r5_r5_g01,Final Four,Region 4,16,Albany,Region 1,10,Creighton,0.15117481350898743,0.17346501931747266
2022,r5_r5_g01,Final Four,Region 4,1,Louisville,Region 1,11,Dayton,0.721389651298523,0.7813054165790331
2022,r5_r5_g01,Final Four,Region 4,2,Baylor,Region 1,11,Dayton,0.6879229545593262,0.7438140627250368
2022,r5_r5_g01,Final Four,Region 4,3,Michigan,Region 1,11,Dayton,0.6879229545593262,0.7438140627250368
2022,r5_r5_g01,Final Four,Region 4,4,Tennessee,Region 1,11,Dayton,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,5,Oregon,Region 1,11,Dayton,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,6,BYU,Region 1,11,Dayton,0.6879229545593262,0.7438140627250368
2022,r5_r5_g01,Final Four,Region 4,7,Mississippi,Region 1,11,Dayton,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,8,Nebraska,Region 1,11,Dayton,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,9,Gonzaga,Region 1,11,Dayton,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,10,South Dakota,Region 1,11,Dayton,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,11,Villanova,Region 1,11,Dayton,0.2336340695619583,0.25390404021780966
2022,r5_r5_g01,Final Four,Region 4,12,Belmont,Region 1,11,Dayton,0.20192360877990723,0.21869458342096698
2022,r5_r5_g01,Final Four,Region 4,13,Buffalo,Region 1,11,Dayton,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,14,American,Region 1,11,Dayton,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,15,Hawaii,Region 1,11,Dayton,0.20192360877990723,0.21869458342096698
2022,r5_r5_g01,Final Four,Region 4,16,Albany,Region 1,11,Dayton,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,1,Louisville,Region 1,12,Stephen F. Austin,0.721389651298523,0.7813054165790331
2022,r5_r5_g01,Final Four,Region 4,2,Baylor,Region 1,12,Stephen F. Austin,0.721389651298523,0.7813054165790331
2022,r5_r5_g01,Final Four,Region 4,3,Michigan,Region 1,12,Stephen F. Austin,0.6075882911682129,0.687078415340629
2022,r5_r5_g01,Final Four,Region 4,4,Tennessee,Region 1,12,Stephen F. Austin,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,5,Oregon,Region 1,12,Stephen F. Austin,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,6,BYU,Region 1,12,Stephen F. Austin,0.748525857925415,0.7595687207878438
2022,r5_r5_g01,Final Four,Region 4,7,Mississippi,Region 1,12,Stephen F. Austin,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,8,Nebraska,Region 1,12,Stephen F. Austin,0.721389651298523,0.7537964025495174
2022,r5_r5_g01,Final Four,Region 4,9,Gonzaga,Region 1,12,Stephen F. Austin,0.721389651298523,0.7813054165790331
2022,r5_r5_g01,Final Four,Region 4,10,South Dakota,Region 1,12,Stephen F. Austin,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,11,Villanova,Region 1,12,Stephen F. Austin,0.23836934566497803,0.2571916803687038
2022,r5_r5_g01,Final Four,Region 4,12,Belmont,Region 1,12,Stephen F. Austin,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,13,Buffalo,Region 1,12,Stephen F. Austin,0.2369358092546463,0.24043127921215623
2022,r5_r5_g01,Final Four,Region 4,14,American,Region 1,12,Stephen F. Austin,0.2369358092546463,0.24043127921215623
2022,r5_r5_g01,Final Four,Region 4,15,Hawaii,Region 1,12,Stephen F. Austin,0.17521685361862183,0.1896814463907885
2022,r5_r5_g01,Final Four,Region 4,16,Albany,Region 1,12,Stephen F. Austin,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,1,Louisville,Region 1,13,UNLV,0.7203254699707031,0.8265349806825273
2022,r5_r5_g01,Final Four,Region 4,2,Baylor,Region 1,13,UNLV,0.7203254699707031,0.8265349806825273
2022,r5_r5_g01,Final Four,Region 4,3,Michigan,Region 1,13,UNLV,0.6507971882820129,0.7878766646442803
2022,r5_r5_g01,Final Four,Region 4,4,Tennessee,Region 1,13,UNLV,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,5,Oregon,Region 1,13,UNLV,0.6879229545593262,0.7438140627250368
2022,r5_r5_g01,Final Four,Region 4,6,BYU,Region 1,13,UNLV,0.7203254699707031,0.804345535656702
2022,r5_r5_g01,Final Four,Region 4,7,Mississippi,Region 1,13,UNLV,0.6879229545593262,0.7438140627250368
2022,r5_r5_g01,Final Four,Region 4,8,Nebraska,Region 1,13,UNLV,0.748525857925415,0.8319721010455979
2022,r5_r5_g01,Final Four,Region 4,9,Gonzaga,Region 1,13,UNLV,0.721389651298523,0.8069413070012796
2022,r5_r5_g01,Final Four,Region 4,10,South Dakota,Region 1,13,UNLV,0.7203254699707031,0.7814068954199698
2022,r5_r5_g01,Final Four,Region 4,11,Villanova,Region 1,13,UNLV,0.6075882911682129,0.687078415340629
2022,r5_r5_g01,Final Four,Region 4,12,Belmont,Region 1,13,UNLV,0.7203254699707031,0.804345535656702
2022,r5_r5_g01,Final Four,Region 4,13,Buffalo,Region 1,13,UNLV,0.6075882911682129,0.687078415340629
2022,r5_r5_g01,Final Four,Region 4,14,American,Region 1,13,UNLV,0.17521685361862183,0.1896814463907885
2022,r5_r5_g01,Final Four,Region 4,15,Hawaii,Region 1,13,UNLV,0.15117481350898743,0.17325346104065437
2022,r5_r5_g01,Final Four,Region 4,16,Albany,Region 1,13,UNLV,0.20192360877990723,0.21869458342096698
2022,r5_r5_g01,Final Four,Region 4,1,Louisville,Region 1,14,UT Arlington,0.748525857925415,0.8103185536092115
2022,r5_r5_g01,Final Four,Region 4,2,Baylor,Region 1,14,UT Arlington,0.748525857925415,0.8103185536092115
2022,r5_r5_g01,Final Four,Region 4,3,Michigan,Region 1,14,UT Arlington,0.748525857925415,0.7595687207878438
2022,r5_r5_g01,Final Four,Region 4,4,Tennessee,Region 1,14,UT Arlington,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,5,Oregon,Region 1,14,UT Arlington,0.748525857925415,0.7595687207878438
2022,r5_r5_g01,Final Four,Region 4,6,BYU,Region 1,14,UT Arlington,0.748525857925415,0.8103185536092115
2022,r5_r5_g01,Final Four,Region 4,7,Mississippi,Region 1,14,UT Arlington,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,8,Nebraska,Region 1,14,UT Arlington,0.748525857925415,0.8103185536092115
2022,r5_r5_g01,Final Four,Region 4,9,Gonzaga,Region 1,14,UT Arlington,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,10,South Dakota,Region 1,14,UT Arlington,0.748525857925415,0.7595687207878438
2022,r5_r5_g01,Final Four,Region 4,11,Villanova,Region 1,14,UT Arlington,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,12,Belmont,Region 1,14,UT Arlington,0.748525857925415,0.8103185536092115
2022,r5_r5_g01,Final Four,Region 4,13,Buffalo,Region 1,14,UT Arlington,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,14,American,Region 1,14,UT Arlington,0.27671876549720764,0.2699051125705242
2022,r5_r5_g01,Final Four,Region 4,15,Hawaii,Region 1,14,UT Arlington,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,16,Albany,Region 1,14,UT Arlington,0.2369358092546463,0.24723939726894145
2022,r5_r5_g01,Final Four,Region 4,1,Louisville,Region 1,15,Illinois St.,0.748525857925415,0.8319721010455979
2022,r5_r5_g01,Final Four,Region 4,2,Baylor,Region 1,15,Illinois St.,0.7203254699707031,0.8265349806825273
2022,r5_r5_g01,Final Four,Region 4,3,Michigan,Region 1,15,Illinois St.,0.7203254699707031,0.8265349806825273
2022,r5_r5_g01,Final Four,Region 4,4,Tennessee,Region 1,15,Illinois St.,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,5,Oregon,Region 1,15,Illinois St.,0.7203254699707031,0.8265349806825273
2022,r5_r5_g01,Final Four,Region 4,6,BYU,Region 1,15,Illinois St.,0.7203254699707031,0.8265349806825273
2022,r5_r5_g01,Final Four,Region 4,7,Mississippi,Region 1,15,Illinois St.,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,8,Nebraska,Region 1,15,Illinois St.,0.748525857925415,0.8319721010455979
2022,r5_r5_g01,Final Four,Region 4,9,Gonzaga,Region 1,15,Illinois St.,0.721389651298523,0.8267465389593457
2022,r5_r5_g01,Final Four,Region 4,10,South Dakota,Region 1,15,Illinois St.,0.748525857925415,0.8319721010455979
2022,r5_r5_g01,Final Four,Region 4,11,Villanova,Region 1,15,Illinois St.,0.6075882911682129,0.687078415340629
2022,r5_r5_g01,Final Four,Region 4,12,Belmont,Region 1,15,Illinois St.,0.7203254699707031,0.8265349806825273
2022,r5_r5_g01,Final Four,Region 4,13,Buffalo,Region 1,15,Illinois St.,0.721389651298523,0.8069413070012796
2022,r5_r5_g01,Final Four,Region 4,14,American,Region 1,15,Illinois St.,0.37333521246910095,0.3516119928195886
2022,r5_r5_g01,Final Four,Region 4,15,Hawaii,Region 1,15,Illinois St.,0.27608177065849304,0.3322077051820577
2022,r5_r5_g01,Final Four,Region 4,16,Albany,Region 1,15,Illinois St.,0.27440351247787476,0.29781162750379725
2022,r5_r5_g01,Final Four,Region 4,1,Louisville,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,2,Baylor,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,3,Michigan,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,4,Tennessee,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,5,Oregon,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,6,BYU,Region 1,16,Howard,0.748525857925415,0.7595687207878438
2022,r5_r5_g01,Final Four,Region 4,7,Mississippi,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,8,Nebraska,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,9,Gonzaga,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,10,South Dakota,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,11,Villanova,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,12,Belmont,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,13,Buffalo,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,14,American,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,15,Hawaii,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g01,Final Four,Region 4,16,Albany,Region 1,16,Howard,0.721389651298523,0.7527606027310585
2022,r5_r5_g02,Final Four,Region 3,1,North Carolina St.,Region 2,1,Stanford,0.5026957392692566,0.4756335668517636
2022,r5_r5_g02,Final Four,Region 3,2,Connecticut,Region 2,1,Stanford,0.5549583435058594,0.5529626016940012
2022,r5_r5_g02,Final Four,Region 3,3,Indiana,Region 2,1,Stanford,0.15117481350898743,0.17346501931747266
2022,r5_r5_g02,Final Four,Region 3,4,Oklahoma,Region 2,1,Stanford,0.17521685361862183,0.195654464343298
2022,r5_r5_g02,Final Four,Region 3,5,Notre Dame,Region 2,1,Stanford,0.15117481350898743,0.18016352713821043
2022,r5_r5_g02,Final Four,Region 3,6,Kentucky,Region 2,1,Stanford,0.15117481350898743,0.17346501931747266
2022,r5_r5_g02,Final Four,Region 3,7,UCF,Region 2,1,Stanford,0.20192360877990723,0.22691958040740168
2022,r5_r5_g02,Final Four,Region 3,8,Washington St.,Region 2,1,Stanford,0.15117481350898743,0.18016352713821043
2022,r5_r5_g02,Final Four,Region 3,9,Kansas St.,Region 2,1,Stanford,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,10,Florida,Region 2,1,Stanford,0.17259067296981812,0.2005670421111056
2022,r5_r5_g02,Final Four,Region 3,11,Princeton,Region 2,1,Stanford,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,12,Massachusetts,Region 2,1,Stanford,0.15117481350898743,0.18016352713821043
2022,r5_r5_g02,Final Four,Region 3,13,IUPUI,Region 2,1,Stanford,0.2369358092546463,0.24751425174784397
2022,r5_r5_g02,Final Four,Region 3,14,Charlotte,Region 2,1,Stanford,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,15,Mercer,Region 2,1,Stanford,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,16,Longwood,Region 2,1,Stanford,0.15117481350898743,0.168027898954402
2022,r5_r5_g02,Final Four,Region 3,1,North Carolina St.,Region 2,2,Texas,0.7203254699707031,0.8265349806825273
2022,r5_r5_g02,Final Four,Region 3,2,Connecticut,Region 2,2,Texas,0.6492213010787964,0.7314422515159859
2022,r5_r5_g02,Final Four,Region 3,3,Indiana,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,4,Oklahoma,Region 2,2,Texas,0.2356189638376236,0.26537697331285054
2022,r5_r5_g02,Final Four,Region 3,5,Notre Dame,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,6,Kentucky,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,7,UCF,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,8,Washington St.,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,9,Kansas St.,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,10,Florida,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,11,Princeton,Region 2,2,Texas,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,12,Massachusetts,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,13,IUPUI,Region 2,2,Texas,0.27671876549720764,0.3129215846593711
2022,r5_r5_g02,Final Four,Region 3,14,Charlotte,Region 2,2,Texas,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,15,Mercer,Region 2,2,Texas,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,16,Longwood,Region 2,2,Texas,0.20192360877990723,0.21869458342096698
2022,r5_r5_g02,Final Four,Region 3,1,North Carolina St.,Region 2,3,LSU,0.721389651298523,0.8267465389593457
2022,r5_r5_g02,Final Four,Region 3,2,Connecticut,Region 2,3,LSU,0.7191454768180847,0.8061619922524584
2022,r5_r5_g02,Final Four,Region 3,3,Indiana,Region 2,3,LSU,0.5844230651855469,0.6791630224974926
2022,r5_r5_g02,Final Four,Region 3,4,Oklahoma,Region 2,3,LSU,0.32312828302383423,0.36656679581583734
2022,r5_r5_g02,Final Four,Region 3,5,Notre Dame,Region 2,3,LSU,0.20192360877990723,0.22691958040740168
2022,r5_r5_g02,Final Four,Region 3,6,Kentucky,Region 2,3,LSU,0.20192360877990723,0.22691958040740168
2022,r5_r5_g02,Final Four,Region 3,7,UCF,Region 2,3,LSU,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,8,Washington St.,Region 2,3,LSU,0.20192360877990723,0.22691958040740168
2022,r5_r5_g02,Final Four,Region 3,9,Kansas St.,Region 2,3,LSU,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,10,Florida,Region 2,3,LSU,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,11,Princeton,Region 2,3,LSU,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,12,Massachusetts,Region 2,3,LSU,0.20192360877990723,0.22691958040740168
2022,r5_r5_g02,Final Four,Region 3,13,IUPUI,Region 2,3,LSU,0.2369358092546463,0.28055541474306167
2022,r5_r5_g02,Final Four,Region 3,14,Charlotte,Region 2,3,LSU,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,15,Mercer,Region 2,3,LSU,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,16,Longwood,Region 2,3,LSU,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,1,North Carolina St.,Region 2,4,Maryland,0.748525857925415,0.8319721010455979
2022,r5_r5_g02,Final Four,Region 3,2,Connecticut,Region 2,4,Maryland,0.7203254699707031,0.8265349806825273
2022,r5_r5_g02,Final Four,Region 3,3,Indiana,Region 2,4,Maryland,0.5503695011138916,0.6168209459189772
2022,r5_r5_g02,Final Four,Region 3,4,Oklahoma,Region 2,4,Maryland,0.3214080035686493,0.38830684249001
2022,r5_r5_g02,Final Four,Region 3,5,Notre Dame,Region 2,4,Maryland,0.2728879749774933,0.3293722054795146
2022,r5_r5_g02,Final Four,Region 3,6,Kentucky,Region 2,4,Maryland,0.2004076987504959,0.24803056110545624
2022,r5_r5_g02,Final Four,Region 3,7,UCF,Region 2,4,Maryland,0.20192360877990723,0.22691958040740168
2022,r5_r5_g02,Final Four,Region 3,8,Washington St.,Region 2,4,Maryland,0.20192360877990723,0.22691958040740168
2022,r5_r5_g02,Final Four,Region 3,9,Kansas St.,Region 2,4,Maryland,0.2356189638376236,0.26537697331285054
2022,r5_r5_g02,Final Four,Region 3,10,Florida,Region 2,4,Maryland,0.20192360877990723,0.24943871583956712
2022,r5_r5_g02,Final Four,Region 3,11,Princeton,Region 2,4,Maryland,0.2369358092546463,0.28055541474306167
2022,r5_r5_g02,Final Four,Region 3,12,Massachusetts,Region 2,4,Maryland,0.2004076987504959,0.24803056110545624
2022,r5_r5_g02,Final Four,Region 3,13,IUPUI,Region 2,4,Maryland,0.27671876549720764,0.3129215846593711
2022,r5_r5_g02,Final Four,Region 3,14,Charlotte,Region 2,4,Maryland,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,15,Mercer,Region 2,4,Maryland,0.2369358092546463,0.28055541474306167
2022,r5_r5_g02,Final Four,Region 3,16,Longwood,Region 2,4,Maryland,0.2356189638376236,0.2794318507565411
2022,r5_r5_g02,Final Four,Region 3,1,North Carolina St.,Region 2,5,Virginia Tech,0.6879229545593262,0.7730804195925983
2022,r5_r5_g02,Final Four,Region 3,2,Connecticut,Region 2,5,Virginia Tech,0.7203254699707031,0.8265349806825273
2022,r5_r5_g02,Final Four,Region 3,3,Indiana,Region 2,5,Virginia Tech,0.5343432426452637,0.6939863257523922
2022,r5_r5_g02,Final Four,Region 3,4,Oklahoma,Region 2,5,Virginia Tech,0.20312316715717316,0.23831112270554325
2022,r5_r5_g02,Final Four,Region 3,5,Notre Dame,Region 2,5,Virginia Tech,0.20312316715717316,0.2379045379280555
2022,r5_r5_g02,Final Four,Region 3,6,Kentucky,Region 2,5,Virginia Tech,0.15117481350898743,0.17346501931747266
2022,r5_r5_g02,Final Four,Region 3,7,UCF,Region 2,5,Virginia Tech,0.27608177065849304,0.29790004449640106
2022,r5_r5_g02,Final Four,Region 3,8,Washington St.,Region 2,5,Virginia Tech,0.15117481350898743,0.17325346104065437
2022,r5_r5_g02,Final Four,Region 3,9,Kansas St.,Region 2,5,Virginia Tech,0.15117481350898743,0.17325346104065437
2022,r5_r5_g02,Final Four,Region 3,10,Florida,Region 2,5,Virginia Tech,0.15117481350898743,0.17325346104065437
2022,r5_r5_g02,Final Four,Region 3,11,Princeton,Region 2,5,Virginia Tech,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,12,Massachusetts,Region 2,5,Virginia Tech,0.15117481350898743,0.168027898954402
2022,r5_r5_g02,Final Four,Region 3,13,IUPUI,Region 2,5,Virginia Tech,0.17521685361862183,0.20340964730115316
2022,r5_r5_g02,Final Four,Region 3,14,Charlotte,Region 2,5,Virginia Tech,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,15,Mercer,Region 2,5,Virginia Tech,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,16,Longwood,Region 2,5,Virginia Tech,0.15117481350898743,0.168027898954402
2022,r5_r5_g02,Final Four,Region 3,1,North Carolina St.,Region 2,6,Ohio St.,0.7203254699707031,0.8265349806825273
2022,r5_r5_g02,Final Four,Region 3,2,Connecticut,Region 2,6,Ohio St.,0.7203254699707031,0.8265349806825273
2022,r5_r5_g02,Final Four,Region 3,3,Indiana,Region 2,6,Ohio St.,0.6507971882820129,0.7617146503867597
2022,r5_r5_g02,Final Four,Region 3,4,Oklahoma,Region 2,6,Ohio St.,0.5028533935546875,0.5609874386459055
2022,r5_r5_g02,Final Four,Region 3,5,Notre Dame,Region 2,6,Ohio St.,0.6507971882820129,0.7617146503867597
2022,r5_r5_g02,Final Four,Region 3,6,Kentucky,Region 2,6,Ohio St.,0.15117481350898743,0.20049718516155177
2022,r5_r5_g02,Final Four,Region 3,7,UCF,Region 2,6,Ohio St.,0.6879229545593262,0.7438140627250368
2022,r5_r5_g02,Final Four,Region 3,8,Washington St.,Region 2,6,Ohio St.,0.1729152798652649,0.19383800774754154
2022,r5_r5_g02,Final Four,Region 3,9,Kansas St.,Region 2,6,Ohio St.,0.15117481350898743,0.20005729686952353
2022,r5_r5_g02,Final Four,Region 3,10,Florida,Region 2,6,Ohio St.,0.15117481350898743,0.168027898954402
2022,r5_r5_g02,Final Four,Region 3,11,Princeton,Region 2,6,Ohio St.,0.6058070063591003,0.6869426419143723
2022,r5_r5_g02,Final Four,Region 3,12,Massachusetts,Region 2,6,Ohio St.,0.1742979735136032,0.20171076174516916
2022,r5_r5_g02,Final Four,Region 3,13,IUPUI,Region 2,6,Ohio St.,0.20358730852603912,0.23828534961324035
2022,r5_r5_g02,Final Four,Region 3,14,Charlotte,Region 2,6,Ohio St.,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,15,Mercer,Region 2,6,Ohio St.,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,16,Longwood,Region 2,6,Ohio St.,0.15117481350898743,0.168027898954402
2022,r5_r5_g02,Final Four,Region 3,1,North Carolina St.,Region 2,7,Utah,0.748525857925415,0.8319721010455979
2022,r5_r5_g02,Final Four,Region 3,2,Connecticut,Region 2,7,Utah,0.748525857925415,0.8319721010455979
2022,r5_r5_g02,Final Four,Region 3,3,Indiana,Region 2,7,Utah,0.6507971882820129,0.7617146503867597
2022,r5_r5_g02,Final Four,Region 3,4,Oklahoma,Region 2,7,Utah,0.27837902307510376,0.3326908780900751
2022,r5_r5_g02,Final Four,Region 3,5,Notre Dame,Region 2,7,Utah,0.5845649242401123,0.7693852909812746
2022,r5_r5_g02,Final Four,Region 3,6,Kentucky,Region 2,7,Utah,0.2008010447025299,0.2494662372992431
2022,r5_r5_g02,Final Four,Region 3,7,UCF,Region 2,7,Utah,0.6879229545593262,0.7438140627250368
2022,r5_r5_g02,Final Four,Region 3,8,Washington St.,Region 2,7,Utah,0.20312316715717316,0.2379045379280555
2022,r5_r5_g02,Final Four,Region 3,9,Kansas St.,Region 2,7,Utah,0.2004076987504959,0.21740971455368008
2022,r5_r5_g02,Final Four,Region 3,10,Florida,Region 2,7,Utah,0.15117481350898743,0.18046251777156913
2022,r5_r5_g02,Final Four,Region 3,11,Princeton,Region 2,7,Utah,0.5026957392692566,0.591466066109513
2022,r5_r5_g02,Final Four,Region 3,12,Massachusetts,Region 2,7,Utah,0.1742979735136032,0.2108755755682975
2022,r5_r5_g02,Final Four,Region 3,13,IUPUI,Region 2,7,Utah,0.27671876549720764,0.298343941545911
2022,r5_r5_g02,Final Four,Region 3,14,Charlotte,Region 2,7,Utah,0.2369358092546463,0.24723939726894145
2022,r5_r5_g02,Final Four,Region 3,15,Mercer,Region 2,7,Utah,0.2369358092546463,0.25618593727496314
2022,r5_r5_g02,Final Four,Region 3,16,Longwood,Region 2,7,Utah,0.1742979735136032,0.1949164485294663
2022,r5_r5_g02,Final Four,Region 3,1,North Carolina St.,Region 2,8,Kansas,0.721389651298523,0.8069413070012796
2022,r5_r5_g02,Final Four,Region 3,2,Connecticut,Region 2,8,Kansas,0.748525857925415,0.8319721010455979
2022,r5_r5_g02,Final Four,Region 3,3,Indiana,Region 2,8,Kansas,0.721389651298523,0.7527606027310585
2022,r5_r5_g02,Final Four,Region 3,4,Oklahoma,Region 2,8,Kansas,0.721389651298523,0.7537964025495174
