game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20221102b,b,1102,2022,Region 1,First Round,9,2022 Memphis,8,2022 Boise St.,64,53,11,117,1
20221103b,b,1103,2022,Region 1,First Round,12,2022 New Mexico St.,5,2022 Connecticut,70,63,7,133,1
20221104b,b,1104,2022,Region 1,First Round,13,2022 Vermont,4,2022 Arkansas,71,75,-4,146,0
20221105b,b,1105,2022,Region 1,First Round,11,2022 Notre Dame,6,2022 Alabama,78,64,14,142,1
20221106b,b,1106,2022,Region 1,First Round,14,2022 Montana St.,3,2022 Texas Tech,62,97,-35,159,0
20221107b,b,1107,2022,Region 1,First Round,10,2022 Davidson,7,2022 Michigan St.,73,74,-1,147,0
20221108b,b,1108,2022,Region 1,First Round,15,2022 Cal St. Fullerton,2,2022 Duke,61,78,-17,139,0
20221201b,b,1201,2022,Region 4,First Round,16,2022 Norfolk St.,1,2022 Baylor,49,85,-36,134,0
20221202b,b,1202,2022,Region 4,First Round,9,2022 Marquette,8,2022 North Carolina,63,95,-32,158,0
20221203b,b,1203,2022,Region 4,First Round,12,2022 Indiana,5,2022 Saint Mary's,53,82,-29,135,0
20221204b,b,1204,2022,Region 4,First Round,13,2022 Akron,4,2022 UCLA,53,57,-4,110,0
20221205b,b,1205,2022,Region 4,First Round,11,2022 Virginia Tech,6,2022 Texas,73,81,-8,154,0
20221206b,b,1206,2022,Region 4,First Round,14,2022 Yale,3,2022 Purdue,56,78,-22,134,0
20221207b,b,1207,2022,Region 4,First Round,10,2022 San Francisco,7,2022 Murray St.,87,92,-5,179,0
20221208b,b,1208,2022,Region 4,First Round,15,2022 Saint Peter's,2,2022 Kentucky,85,79,6,164,1
20221301b,b,1301,2022,Region 2,First Round,16,2022 Wright St.,1,2022 Arizona,70,87,-17,157,0
20221302b,b,1302,2022,Region 2,First Round,9,2022 TCU,8,2022 Seton Hall,69,42,27,111,1
20221303b,b,1303,2022,Region 2,First Round,12,2022 UAB,5,2022 Houston,68,82,-14,150,0
20221304b,b,1304,2022,Region 2,First Round,13,2022 Chattanooga,4,2022 Illinois,53,54,-1,107,0
20221305b,b,1305,2022,Region 2,First Round,11,2022 Michigan,6,2022 Colorado St.,75,63,12,138,1
20221306b,b,1306,2022,Region 2,First Round,14,2022 Longwood,3,2022 Tennessee,56,88,-32,144,0
20221307b,b,1307,2022,Region 2,First Round,10,2022 Loyola Chicago,7,2022 Ohio St.,41,54,-13,95,0
20221308b,b,1308,2022,Region 2,First Round,15,2022 Delaware,2,2022 Villanova,60,80,-20,140,0
20221401b,b,1401,2022,Region 3,First Round,16,2022 Texas Southern,1,2022 Kansas,56,83,-27,139,0
20221402b,b,1402,2022,Region 3,First Round,9,2022 Creighton,8,2022 San Diego St.,72,69,3,141,1
20221403b,b,1403,2022,Region 3,First Round,12,2022 Richmond,5,2022 Iowa,67,63,4,130,1
20221404b,b,1404,2022,Region 3,First Round,13,2022 South Dakota St.,4,2022 Providence,57,66,-9,123,0
20221405b,b,1405,2022,Region 3,First Round,11,2022 Iowa St.,6,2022 LSU,59,54,5,113,1
20221406b,b,1406,2022,Region 3,First Round,14,2022 Colgate,3,2022 Wisconsin,60,67,-7,127,0
20221407b,b,1407,2022,Region 3,First Round,10,2022 Miami FL,7,2022 USC,68,66,2,134,1
20221408b,b,1408,2022,Region 3,First Round,15,2022 Jacksonville St.,2,2022 Auburn,61,80,-19,141,0
20222109b,b,2109,2022,Region 1,Second Round,9,2022 Memphis,1,2022 Gonzaga,78,82,-4,160,0
20222110b,b,2110,2022,Region 1,Second Round,4,2022 Arkansas,12,2022 New Mexico St.,53,48,5,101,1
20222111b,b,2111,2022,Region 1,Second Round,3,2022 Texas Tech,11,2022 Notre Dame,59,53,6,112,1
20222112b,b,2112,2022,Region 1,Second Round,2,2022 Duke,7,2022 Michigan St.,85,76,9,161,1
20222209b,b,2209,2022,Region 4,Second Round,8,2022 North Carolina,1,2022 Baylor,93,86,7,179,1
20222210b,b,2210,2022,Region 4,Second Round,4,2022 UCLA,5,2022 Saint Mary's,72,56,16,128,1
20222211b,b,2211,2022,Region 4,Second Round,3,2022 Purdue,6,2022 Texas,81,71,10,152,1
20222212b,b,2212,2022,Region 4,Second Round,15,2022 Saint Peter's,7,2022 Murray St.,70,60,10,130,1
20222309b,b,2309,2022,Region 2,Second Round,9,2022 TCU,1,2022 Arizona,80,85,-5,165,0
20222310b,b,2310,2022,Region 2,Second Round,4,2022 Illinois,5,2022 Houston,53,68,-15,121,0
20222311b,b,2311,2022,Region 2,Second Round,3,2022 Tennessee,11,2022 Michigan,68,76,-8,144,0
