team_id,5man_prpg!,5man_dprpg,5man_bpm,5man_obpm,5man_dbpm
2015 Albany,10.6,14.4,8.8,7.7,2.6
2015 Arizona,14.9,22.4,36.2,17.1,19.5
2015 Arkansas,14.3,14.4,25.9,19.2,6.6
2015 Baylor,16.1,20,33.6,21.3,16.3
2015 Belmont,11.4,11.8,10.7,11.7,3.1
2015 Boise St.,11.8,15.2,19.7,10.4,10.3
2015 Buffalo,11.9,16.3,15.6,10.9,5.6
2015 Butler,13.6,22.4,28.5,12.8,16.1
2015 BYU,13.5,12.1,19.2,15.6,2.5
2015 Cincinnati,11.1,17.7,24.3,11.2,13.7
2015 Coastal Carolina,8.2,12.4,5.4,5.2,0.3
2015 Davidson,20.2,14.6,27.8,26.8,6.8
2015 Dayton,11.6,19.9,17.3,7.1,7.9
2015 Duke,19.9,19,38.2,26.2,12.6
2015 Eastern Washington,13.8,11.5,7.3,12,-3.8
2015 Georgetown,12.8,15.9,23.2,15.1,9.8
2015 Georgia,12.7,14.7,17.8,13.8,5.5
2015 Georgia St.,9.3,14.6,11.4,4.7,6.9
2015 Gonzaga,17.3,18.4,34.7,23.8,18.8
2015 Hampton,4.9,9.2,-9.1,-0.8,-7.2
2015 Harvard,9.7,17.3,15.4,7.8,7.3
2015 Indiana,16.5,12.8,17.6,18.5,2.9
2015 Iowa,12.4,17,25.9,15,16.1
2015 Iowa St.,17.3,17.4,27.7,19.2,11.8
2015 Kansas,12.3,17.1,25.8,13.5,14.3
2015 Kentucky,14.2,20.6,45,21.2,22.5
2015 Lafayette,15.4,8.2,3.6,15,-5.4
2015 Louisville,11.2,20.2,23.3,8,17.5
2015 LSU,12.8,20.4,21.8,11,9
2015 Manhattan,8.6,14.1,8.8,5.6,5.1
2015 Maryland,13.5,17.6,23.9,11.7,14
2015 Michigan St.,16.2,18.3,35.1,22.8,12.9
2015 Mississippi,11.3,13.4,17,11.7,5.4
2015 NC St.,11.4,13.7,16.9,13,4.1
2015 New Mexico St.,11.8,16.7,16.6,10,8.2
2015 North Carolina,16.2,18.3,37.1,24.1,15.8
2015 North Dakota St.,7.2,14.7,2,-0.4,4
2015 North Florida,10.7,13.8,8.8,8.2,2
2015 Northeastern,10.5,15,9.1,7.6,2.7
2015 Northern Iowa,11.4,15.9,26.6,14.6,12.4
2015 Notre Dame,21.2,17.4,30,25.1,10.1
2015 Ohio St.,13.8,19.1,28.7,15.1,12.4
2015 Oklahoma,14.2,23,31.4,15.2,15.7
2015 Oklahoma St.,13.8,18,22.9,13.9,10.9
2015 Oregon,12.5,14.4,16.4,10.2,8.1
2015 Providence,14.3,18.3,23.4,13.1,10.6
2015 Purdue,11.1,15.8,22.6,12,13.8
2015 Robert Morris,6.3,11.5,4.7,3.5,-0.3
2015 San Diego St.,7.5,18.9,22.3,5.6,17.3
2015 SMU,13.4,16.6,26.2,16.8,11.7
2015 St. John's,12.8,17.4,14.3,7.9,6
2015 Stephen F. Austin,10.4,13.4,18.2,12.2,9.1
2015 Texas,11.3,15.9,21,11,8.5
2015 Texas Southern,7.7,9.7,-0.6,6.8,-3.6
2015 UAB,6.3,13.1,6,1.5,-0.2
2015 UC Irvine,9.6,14.9,12.9,7.7,8.6
2015 UCLA,15.3,17.9,19.6,14.3,7.9
2015 Utah,16.2,19.3,39.3,23.2,17.8
2015 Valparaiso,9.4,15.7,15,6.5,15.2
2015 VCU,11.4,14.3,18.9,14.7,12.2
2015 Villanova,15.7,19.3,32.4,18.9,13.2
2015 Virginia,12.1,20.9,31.7,11.6,22.9
2015 West Virginia,10.5,14.8,20,12.3,7.5
2015 Wichita St.,15.5,18.9,34.9,22.1,17.5
2015 Wisconsin,24.2,21.4,44.9,32.7,18.3
2015 Wofford,9.2,15.5,12.1,7,4.7
2015 Wyoming,10.4,18.1,12,5.5,7.5
2015 Xavier,11.7,14.8,20.7,13.6,5.2
2016 Arizona,15.2,17.8,26.9,17,13.9
2016 Austin Peay,8.5,11,1,5.8,-5.9
2016 Baylor,14.8,14.9,22,15.8,10
2016 Buffalo,9.2,12.3,9.3,6.8,3.4
2016 Butler,17.2,16.4,25,18.8,10.6
2016 Cal St. Bakersfield,7.8,16.1,10.7,3.3,9.6
2016 California,10.7,15.5,18.5,7.3,12.4
2016 Chattanooga,8.3,14.3,7.7,2.2,3.4
2016 Cincinnati,11.5,17.6,21.9,9.2,13.4
2016 Colorado,10.3,15.7,19.7,8.3,9.7
2016 Connecticut,14.4,18.4,27.2,13.5,14.5
2016 Dayton,12.8,19.3,22.2,11.6,8
2016 Duke,21.2,17.9,30.5,23.8,10.6
2016 Fairleigh Dickinson,8.9,7.9,-7.5,2.8,-5.5
2016 Florida Gulf Coast,7,13,3.9,0.3,6.6
2016 Fresno St.,10.4,14.6,12.2,6.7,8.3
2016 Gonzaga,17.1,18.6,28.8,19,16.6
2016 Green Bay,9.6,12.2,7.6,6.6,1.5
2016 Hampton,7.5,10.8,-2.2,1.2,0.9
2016 Hawaii,11.4,17,20.3,9.7,8.8
2016 Holy Cross,4.4,9.7,-5.6,-2.1,-2.5
2016 Indiana,15.8,13.9,25.7,19.4,7.4
2016 Iona,13.5,12.4,8.7,11.4,1.3
2016 Iowa,14.6,17.7,25.3,15.5,14.1
2016 Iowa St.,19.7,18,25,19.1,11
2016 Kansas,18.3,19.1,36.3,22.5,18.7
2016 Kentucky,18.8,16.9,35.4,25.9,14.2
2016 Little Rock,8.2,13.2,15.3,6.8,8.8
2016 Maryland,17,17.8,29.4,19.3,11.2
2016 Miami FL,14.8,17.8,24.2,14.9,7.6
2016 Michigan,13.1,15.2,16.6,11.5,9.6
2016 Michigan St.,19.1,16.4,40.8,30,9.9
2016 Middle Tennessee,9.6,15.7,16,8.6,8.9
2016 North Carolina,18.1,18.3,39.8,26.2,18.1
2016 Northern Iowa,13.6,16.8,16.2,8.8,9.8
2016 Notre Dame,15.1,13.5,12.2,13.5,3
2016 Oklahoma,18.6,19.9,34.4,20.5,9.2
2016 Oregon,18.3,17.2,26.8,19.4,11.6
2016 Oregon St.,9.6,13.8,15.1,8.9,7.1
2016 Pittsburgh,13.6,15.9,23.6,15.5,8.5
2016 Providence,12.6,18.7,20.2,9.3,9.3
2016 Purdue,12.7,17.5,27.7,14.9,11.1
2016 Saint Joseph's,13.4,15.9,21.3,12.7,14.1
2016 Seton Hall,13.3,19.8,28.1,13.9,10.1
2016 South Dakota St.,12.3,14.1,16.7,14.8,-0.3
2016 Southern,7.7,12,2.2,3.8,1
2016 Stephen F. Austin,10.4,15.5,22.1,9.4,11.1
