team_id,3man_prpg!,3man_dprpg,3man_bpm,3man_obpm,3man_dbpm
2016 South Dakota St.,8.9,8.2,14.8,14.2,0.5
2016 Southern,5.5,7.4,5.4,4.8,0.5
2016 Stephen F. Austin,8.5,9.7,21.1,12.4,8.5
2016 Stony Brook,9.1,10.7,15,9.5,5.5
2016 Syracuse,10,12.6,17.3,9.6,7.7
2016 Temple,7.2,10.5,10.9,4.9,5.9
2016 Texas,9.6,9.8,15.8,10.7,5.3
2016 Texas A&M,8.6,11.1,19.7,10.9,8.7
2016 Texas Tech,9.3,9.7,18.4,12.6,5.8
2016 Tulsa,8.9,10.3,13,10.2,2.9
2016 UNC Asheville,5.4,10.7,6.5,1.4,5
2016 UNC Wilmington,7.8,8.9,11,9.2,1.8
2016 USC,8.8,9.7,13.9,9.2,4.7
2016 Utah,11.4,10,20,14.3,5.7
2016 Vanderbilt,8.3,11.4,20.6,10.9,9.6
2016 VCU,9,10.3,18,11.3,6.7
2016 Villanova,11.2,12,26.6,16.8,9.8
2016 Virginia,11.9,11.8,26.4,16.2,10.3
2016 Weber St.,6.9,9.4,7.7,6.2,1.5
2016 West Virginia,7,10.2,16.5,7.7,8.8
2016 Wichita St.,8.9,11.2,25.3,12.8,12.4
2016 Wisconsin,9,11.4,15.4,7.9,7.5
2016 Xavier,10,10.4,19.5,12.7,6.8
2016 Yale,7.6,11.1,17.4,8.9,8.6
2017 Arizona,12.5,12,22,15.7,6.4
2017 Arkansas,8.6,7.6,13.4,11,2.4
2017 Baylor,10.5,12.3,21,12,8.8
2017 Bucknell,9.1,10.1,15.4,10.1,5.2
2017 Butler,8.4,9.5,17.1,10.8,6.3
2017 Cincinnati,11,12.6,24.4,14.5,9.9
2017 Creighton,9,10.3,20.6,11.9,8.7
2017 Dayton,9.6,11,18.4,10.9,7.5
2017 Duke,14.7,13.1,24.5,17,7.3
2017 East Tennessee St.,6.8,9.6,11.2,6.6,4.7
2017 Florida,8.9,10.2,24.7,12.5,12.2
2017 Florida Gulf Coast,9.1,7.6,12.9,10.9,2
2017 Florida St.,8.8,10.3,19.5,12.1,7.4
2017 Gonzaga,10.4,12.5,26.8,13.8,13
2017 Iona,6.9,7.2,6.9,6.1,0.7
2017 Iowa St.,13.8,11.6,22.2,17.2,4.8
2017 Jacksonville St.,6.6,7.5,5.8,5.5,0.4
2017 Kansas,14.5,12.5,25.3,17.7,7.6
2017 Kansas St.,9.5,10.7,16.5,10.1,6.4
2017 Kent St.,8.8,9,10.8,9.8,0.8
2017 Kentucky,10.6,11.2,23.5,14.5,8.8
2017 Louisville,10.7,12.6,20.9,13.2,7.6
2017 Marquette,10.8,5.8,22.7,22.7,0
2017 Maryland,10.8,11,19.9,15.4,4.4
2017 Miami FL,8.8,12.6,20.3,9.5,10.7
2017 Michigan,13,10.3,22.4,17.3,5.2
2017 Michigan St.,7.5,9.6,20.5,12.7,7.8
2017 Middle Tennessee,11.3,11.5,19.9,14.5,5.5
2017 Minnesota,7.4,11,14.7,5.2,9.5
2017 Mount St. Mary's,3.5,8.8,3.7,0.6,3.1
2017 Nevada,9.4,10.4,14.4,9.5,5
2017 New Mexico St.,9.8,8.4,10.7,10.9,-0.2
2017 New Orleans,5.6,9.5,6.2,3,3.2
2017 North Carolina,12.8,11.3,24.6,18,6.6
2017 North Carolina Central,6.3,9.2,6,3.8,2.2
2017 North Dakota,6.8,9.3,7.8,6,1.9
2017 Northern Kentucky,7.7,7.1,6.4,7.7,-1.3
2017 Northwestern,8.7,11.9,15.2,8.2,7
2017 Notre Dame,12.8,11.8,18.9,15.1,3.9
2017 Oklahoma St.,15.9,8.7,25,24.1,1
2017 Oregon,10,11.6,23.7,14,9.8
2017 Princeton,8.3,11.2,14.3,7.9,6.3
2017 Providence,8.4,11.4,13.6,7.7,6
2017 Purdue,11.8,12.6,22.5,14.3,8.3
2017 Rhode Island,8,10.6,16.8,10.3,6.6
2017 Saint Mary's,10.9,10.9,22,13.3,8.7
2017 Seton Hall,10.6,11.3,14.7,11.9,2.8
2017 SMU,14.7,13.1,23.8,16.9,6.8
2017 South Carolina,9.4,13.6,26.1,14.1,11.9
2017 South Dakota St.,7.8,5.2,4.1,7,-2.9
2017 Texas Southern,6.1,6.3,2.8,2,0.8
2017 Troy,8.4,6,7.5,10,-2.6
2017 UC Davis,4.9,8.8,5.7,2.3,3.4
2017 UCLA,13.6,11,24.5,17.7,6.7
2017 UNC Wilmington,10.8,8.6,14.8,13.7,1.1
2017 USC,9.6,9.3,15.3,11.7,3.5
2017 Vanderbilt,9.5,10.1,17.3,10.1,7
2017 VCU,9,10.3,16.6,11.4,5.3
2017 Vermont,6.8,8.9,11.4,7.9,3.6
2017 Villanova,15.1,12.8,24,17,7
2017 Virginia,7.6,11.6,19.4,9.2,10.2
2017 Virginia Tech,10,8.4,16.4,14.3,2.2
2017 Wake Forest,12.8,7.9,21,19.8,1.3
2017 West Virginia,9.1,13,24.9,11.4,13.5
2017 Wichita St.,10.3,10,25.5,17.1,8.4
2017 Winthrop,8,7.8,10.3,9.9,0.4
2017 Wisconsin,10.4,12.4,24.7,13.2,11.6
2017 Xavier,9.9,8.9,15.9,12.1,3.9
2018 Alabama,9,10,18.2,11.3,7.1
2018 Arizona,14.5,10.6,20.4,17,3.3
2018 Arizona St.,11,9.8,12.4,11.7,1
2018 Arkansas,13.9,8.9,20.4,19.9,0.6
2018 Auburn,8.4,8.7,14.9,8.3,6.6
2018 Bucknell,10.1,9.4,14.7,11.5,3.1
2018 Buffalo,12.1,9,17.9,16,1.9
