game_id,round,team,team_seed,team_region,opponent,opp_seed,opp_region,win_prob,team_5man_bpm,team_3man_bpm,team_kenpom_rtg,team_torvik_rtg,team_kenpom_off,team_kenpom_def,team_torvik_off,team_torvik_def,team_wab,team_efg%,team_efgd%,team_adj_tempo,team_elite_outcome_probability,team_four_factors_composite,opp_5man_bpm,opp_3man_bpm,opp_kenpom_rtg,opp_torvik_rtg,opp_kenpom_off,opp_kenpom_def,opp_torvik_off,opp_torvik_def,opp_wab,opp_efg%,opp_efgd%,opp_adj_tempo,opp_elite_outcome_probability,opp_four_factors_composite,diff_5man_bpm,diff_3man_bpm,diff_wab,diff_kenpom_rtg,diff_torvik_rtg,diff_5man_prpg,diff_3man_prpg,diff_5man_dprpg,diff_3man_dprpg,diff_size,diff_height,diff_experience,diff_bench,diff_raw_tempo,diff_adj_tempo,diff_3pr,diff_3prd,diff_off_dunk_share,diff_off_close2_share,diff_off_far2_share,diff_off_3pt_share,diff_def_dunk_share,diff_def_close2_share,diff_def_far2_share,diff_def_3pt_share,diff_5man_obpm,diff_3man_obpm,diff_kenpom_off,diff_torvik_off,diff_efg_pct,diff_2p_pct,diff_3p_pct,diff_ft_pct,diff_ftr,diff_tor,diff_orb_pct,diff_ast_pct,diff_blk_pct,diff_off_dunk_fg_pct,diff_off_close2_fg_pct,diff_off_far2_fg_pct,diff_off_3pt_fg_pct,diff_5man_dbpm,diff_3man_dbpm,diff_kenpom_def,diff_torvik_def,diff_efgd_pct,diff_2pd_pct,diff_3pd_pct,diff_ftd_pct,diff_ftrd,diff_tord,diff_drb_pct,diff_astd_pct,diff_blked_pct,diff_def_dunk_fg_pct,diff_def_close2_fg_pct,diff_def_far2_fg_pct,diff_def_3pt_fg_pct,diff_net_efg_margin,diff_net_turnover_margin,diff_net_rebounding_margin,diff_net_ftr_margin,diff_rim_efficiency,diff_perimeter_efficiency,diff_three_point_volume_efficiency,diff_shot_quality_variance,diff_rim_to_three_ratio,diff_mid_range_reliance,diff_paint_touch_rate,diff_top5_scoring_concentration,diff_top5_rebounding_concentration,diff_top5_def_rebounding_concentration,diff_bench_scoring_ratio,diff_rotation_balance,diff_tempo_advantage,diff_effective_possession_rate,diff_offensive_versatility_score,diff_size_speed_index,diff_assist_to_usage_ratio,diff_free_throw_advantage,diff_block_efficiency,diff_experience_weighted_production,diff_four_factors_composite,diff_elite_outcome_probability,diff_offense_defense_balance,diff_shooting_variance_resilience,diff_lineup_depth_quality,diff_def_net_efg_margin,diff_def_net_turnover_margin,diff_def_net_rebounding_margin,diff_def_net_ftr_margin,diff_def_rim_efficiency,diff_def_perimeter_efficiency,diff_def_three_point_volume_efficiency,diff_def_shot_quality_variance,diff_def_rim_to_three_ratio,diff_def_mid_range_reliance,diff_def_paint_touch_rate,diff_def_effective_possession_rate,diff_defensive_versatility_score,diff_def_size_speed_index,diff_def_assist_suppression,diff_def_free_throw_advantage,diff_def_block_efficiency,diff_def_experience_impact,diff_def_four_factors_composite,diff_def_lineup_depth_quality
r1_r1_g01,Round 1,Duke,1,Region 1,Siena,16,Region 1,0.8609,45.1,36.9,38.8998,0.97927072,127.956,110.9438,127.00992,109.1667758,13.6723974,58.2,55.3,66.8,2,58.13,3.2,9.1,-2.09721,0.45141655,107.134,90.769,106.396536,91.784448,-7.7716436,51.3,49.6,65.6,2,53.025000000000006,41.9,27.799999999999997,21.444041,40.997009999999996,0.52785417,-18.8,-27.099999999999998,21.400000000000002,29.5,2.6099999999999994,1.38,-0.29164599999999996,10.350000000000001,2.799999999999997,1.2000000000000028,5.100000000000001,13.800000000000004,10.5,7.099999999999994,-12.2,5.100000000000001,3.5,-9.899999999999999,-3.8999999999999986,13.800000000000004,20.900000000000002,19.0,37.187,35.225471999999996,8.600000000000001,8.300000000000004,-32.1,44.900000000000006,-29.900000000000006,67.19999999999999,9.600000000000001,7.5,-80.0,75.8,18.099999999999994,-19.5,-32.1,21.0,8.8,3.8097999999999956,2.770239799999999,4.0,0.6000000000000014,39.199999999999996,-48.60000000000001,40.8,-65.4,-7.300000000000001,-4.399999999999999,81.60000000000001,-76.30000000000001,-13.0,19.5,39.199999999999996,4.600000000000001,-132.60000000000002,-75.9,-70.7,24.367199999999997,-20.2512,-10.8252,3.038813815467158,0.2733447497713928,16.200000000000003,1.8000000000000043,0.0,0.0,0.01000000000000511,10.350000000000001,-4.222167533202835,1.2000000000000028,40.538,2.054890321315426,0.9170399999999999,-2.5830349606202683,1505.5300000000004,-9.818311936041376,17.2882724,17.674999999999997,0,-0.26949523336824477,1.8771231028946858,-1.900000000000003,-4.600000000000001,132.60000000000002,75.9,70.7,-12.670400000000006,24.9176,22.1096,-4.710212329036871,-0.5707264297334576,0.5,15.399999999999999,-32.7902,-4.227243158128232,0.9170399999999999,2.364330839242739,-1505.5300000000004,8.619652751003072,18.308724,-10.090000000000003,-12.2
r1_r1_g02,Round 1,Connecticut,2,Region 1,Furman,15,Region 1,0.8647,35.3,26.2,27.8694,0.95542555,121.986,105.8837,122.447318,106.2005042,8.84338098,56.4,54.3,65.5,2,55.425,-2.3,3.6,-1.9789,0.4447292,107.451,90.57,106.566237,91.356678,-8.7302297,53.1,50.9,66.8,0,52.705000000000005,37.599999999999994,22.599999999999998,17.57361068,29.8483,0.5106963499999999,-21.4,-30.5,21.6,29.799999999999997,-0.5400000000000063,0.24,1.2422500000000003,-1.9800000000000004,-0.5,-1.2999999999999972,-1.6000000000000014,-10.099999999999994,5.299999999999999,2.0999999999999943,-0.5,-1.6000000000000014,-6.5,0.5,9.5,-10.099999999999994,19.5,12.8,31.41600000000001,31.090639999999993,5.5,8.0,-32.2,41.8,-38.10000000000001,68.0,6.700000000000003,11.799999999999997,-74.0,76.0,19.900000000000006,-14.399999999999999,-32.2,18.1,9.7,-1.5672999999999888,-0.3657328000000035,1.1999999999999957,-4.799999999999997,36.400000000000006,-41.7,26.4,-62.3,-4.099999999999998,-4.299999999999997,80.89999999999999,-75.8,-12.899999999999999,12.799999999999997,36.400000000000006,4.300000000000004,-130.3,-75.8,-64.5,17.023999999999994,-17.280600000000007,-14.055,3.9424499972035534,0.22303432274388169,8.700000000000003,-9.399999999999999,-0.0300000000000153,-0.050000000000011396,-0.039999999999992,-1.9800000000000004,-0.7760755576828018,-1.2999999999999972,39.1715,0.23882384516582533,0.14342,-2.0003544781805425,865.7499999999995,-9.320026370786275,46.55777000000001,14.824999999999996,2,-0.34308659068297054,-3.175716197085748,-6.700000000000001,-4.300000000000004,130.3,75.8,64.5,-15.174800000000005,17.502500000000005,9.813500000000007,6.0070822909092065,0.1488023839567323,-11.5,1.5999999999999943,-32.8569,-1.1336406467648033,0.14342,2.3558283216784504,-865.7499999999995,5.835018673453707,41.44033600000001,-11.955000000000005,-8.4
r1_r1_g03,Round 1,Michigan St.,3,Region 1,North Dakota St.,14,Region 1,0.8501,38.2,28.1,28.31,0.94596059,123.049,105.2614,121.550951,105.2329681,7.44665614,53.7,53.2,66.9,1,55.775000000000006,10.6,9.9,5.13396,0.6329539,111.74,93.394,111.136691,94.006539,-3.3518375,51.8,48.2,67.3,0,52.965,27.6,18.200000000000003,10.79849364,23.17604,0.31300669000000003,-19.800000000000004,-28.5,20.8,31.699999999999996,2.569999999999993,2.48,0.05736000000000008,2.009999999999998,-1.2000000000000028,-0.3999999999999915,-8.0,3.299999999999997,7.5,-1.8999999999999986,9.899999999999999,-8.0,-1.7999999999999998,-9.2,5.900000000000002,3.299999999999997,16.6,13.200000000000001,29.655,27.544411999999994,5.5,6.0,-30.6,51.099999999999994,-31.5,63.4,10.600000000000001,22.1,-77.7,79.0,25.799999999999997,-19.699999999999996,-30.6,11.0,4.9,-6.4786,-5.903722900000005,1.4000000000000057,-1.2000000000000028,31.39999999999999,-46.69999999999999,37.900000000000006,-67.6,-11.5,-9.399999999999999,82.9,-87.1,-19.5,23.699999999999996,31.39999999999999,4.099999999999994,-131.0,-77.69999999999999,-69.4,18.8126,-16.586299999999998,-16.458399999999997,0.7084631595763575,0.35381212975578114,-1.1000000000000014,-13.600000000000001,-2.8400892748692286e-14,0.0100000000000051,0.0300000000000011,2.009999999999998,1.6336367846560336,-0.3999999999999915,35.0853,2.231792994454537,1.66228,-1.9719207298057528,1730.8399999999992,-9.965266829418022,23.389336,15.445,1,-0.27449874811324015,1.373236962885585,-3.3999999999999986,-4.099999999999994,131.0,77.69999999999999,69.4,-17.281,24.221099999999996,15.622099999999996,0.44445832677949326,-0.3130451240120431,-3.3000000000000007,23.0,-34.78999999999999,-8.617154077838222,1.66228,1.8096315538414933,-1730.8399999999992,6.810354931149572,15.735032000000002,-12.954999999999998,-6.099999999999999
r1_r1_g04,Round 1,Kansas,4,Region 1,Cal Baptist,13,Region 1,0.8682,34.4,28.4,24.4399,0.9336581,118.33,106.1094,117.9366,106.2896112,6.26783496,52.8,56.1,68.6,1,53.575,7.1,7.6,5.99314,0.67389071,107.926,98.067,107.279017,99.282763,-2.3000291,48.1,52.8,66.9,1,52.23,27.299999999999997,20.799999999999997,8.56786406,18.44676,0.25976739000000004,-18.0,-27.500000000000004,19.6,30.200000000000003,2.200000000000003,-0.1100000000000001,0.3446100000000001,-5.039999999999999,0.7999999999999972,1.6999999999999886,4.0000000000000036,9.899999999999999,9.5,-6.5,2.6000000000000014,4.0000000000000036,-2.5,-14.299999999999997,4.5,9.899999999999999,10.8,12.3,20.263000000000005,18.653836999999996,0.0,-1.6000000000000014,-35.3,48.60000000000001,-30.199999999999996,69.80000000000001,3.099999999999998,-0.7000000000000028,-74.80000000000001,62.89999999999999,15.100000000000001,-24.299999999999997,-35.3,16.5,8.5,-1.8166000000000082,-0.9894058000000001,8.0,7.599999999999994,35.599999999999994,-41.30000000000001,39.2,-69.10000000000001,-8.099999999999998,11.600000000000001,84.2,-75.3,-3.6000000000000014,25.400000000000006,35.599999999999994,-8.0,-138.90000000000003,-79.2,-69.39999999999999,14.223900000000004,-15.172099999999997,-9.790099999999997,8.229251400873657,-0.08384924182174647,-4.600000000000001,-2.0,0.0600000000000165,0.0499999999999972,0.060000000000016505,-5.039999999999999,2.401381402943514,1.6999999999999886,36.854400000000005,4.20186114491554,-0.054380000000000206,-2.6885657319409897,983.9300000000012,-11.881608335254866,21.332664,13.540000000000006,0,0.1463721906430031,-3.158367342455236,1.4999999999999991,8.0,138.90000000000003,79.2,69.39999999999999,-15.095300000000002,26.5145,18.2883,8.41832881596213,-0.8082457411232289,-3.8999999999999986,5.600000000000001,-32.069100000000006,-10.680245161338831,-0.054380000000000206,2.9676322231921084,-983.9300000000012,5.7948646603068585,29.114838,-9.814999999999998,-8.000000000000002
r1_r1_g05,Round 1,St. John's,5,Region 1,Northern Iowa,12,Region 1,0.7581,35.9,28.1,25.9079,0.9390277,120.068,105.8403,119.858378,105.5061501,7.26357191,52.0,53.1,70.6,2,55.805,16.9,14.1,11.8089,0.76915992,110.001,101.8082,108.426502,102.3476274,-5.2736788,54.4,53.0,63.1,1,51.78,19.0,14.000000000000002,12.537250709999999,14.099000000000002,0.16986778000000002,-17.0,-28.4,20.799999999999997,30.2,0.6799999999999926,0.9099999999999999,0.3085499999999999,4.25,7.600000000000001,7.499999999999993,-7.700000000000003,-5.899999999999999,5.4,6.5,1.2000000000000028,-7.700000000000003,-1.2999999999999998,3.200000000000003,2.6999999999999993,-5.899999999999999,4.900000000000002,7.199999999999999,18.2598,17.51075060000001,-1.0,1.6000000000000014,-37.89999999999999,44.5,-26.0,67.6,8.599999999999998,7.5,-79.5,70.39999999999999,14.799999999999997,-23.700000000000003,-37.89999999999999,14.0,6.7,-4.160700000000006,-2.9203519,-1.2999999999999972,-2.799999999999997,33.800000000000004,-41.400000000000006,39.49999999999999,-65.1,6.100000000000001,-4.300000000000004,80.7,-74.0,-15.099999999999994,20.1,33.800000000000004,0.29999999999999716,-132.70000000000002,-86.10000000000001,-65.5,17.3071,-22.794199999999993,-18.284899999999993,6.347305534205269,0.5809568356521839,7.0,-4.699999999999996,0.009999999999990898,-0.010000000000005102,1.4203915821298096e-14,4.25,0.26500324309076007,7.499999999999993,34.973,4.824493074736253,0.5907099999999998,-2.697042830012986,1240.6900000000003,-9.239579164472008,14.642581,14.32,1,0.539531171192138,-3.9488097264916178,2.299999999999997,-0.29999999999999716,132.70000000000002,86.10000000000001,65.5,-10.980899999999998,15.175800000000006,9.331500000000005,1.4589401700622773,0.2699038723857643,-6.099999999999998,1.5,-35.67569999999999,3.3445188603134426,0.5907099999999998,2.945643368394279,-1240.6900000000003,7.191162075366262,33.156875,-9.650000000000006,-7.300000000000001
r1_r1_g06,Round 1,Louisville,6,Region 1,South Florida,11,Region 1,0.6512,31.6,22.6,25.4242,0.93894151,124.053,101.3711,124.008086,102.2218159,4.00192427,57.5,52.3,70.7,1,55.69,19.9,16.5,16.3874,0.82786143,117.305,99.082,116.570169,98.310487,-0.2549154,52.0,51.2,72.4,3,55.370000000000005,11.700000000000003,6.100000000000001,4.25683967,9.0368,0.11108008000000003,-17.500000000000004,-28.799999999999997,19.6,30.199999999999996,1.3299999999999983,1.8900000000000001,0.9179600000000001,7.120000000000001,-1.9000000000000057,-1.7000000000000028,13.299999999999997,-4.699999999999996,5.800000000000001,1.1999999999999957,-14.5,13.299999999999997,-5.8,-14.599999999999994,19.299999999999997,-4.699999999999996,13.1,8.9,24.971000000000004,25.69759900000001,6.299999999999997,6.400000000000006,-30.39999999999999,47.0,-29.599999999999994,64.2,3.1000000000000014,10.799999999999997,-77.5,69.1,18.800000000000004,-22.200000000000003,-30.39999999999999,-1.299999999999999,-2.799999999999999,-15.933900000000008,-14.348353100000011,0.29999999999999716,-0.5,34.199999999999996,-45.5,26.0,-67.2,-11.700000000000003,-7.099999999999994,76.69999999999999,-74.5,-15.899999999999999,31.200000000000003,34.199999999999996,6.0,-131.4,-73.99999999999999,-55.599999999999994,17.158399999999993,-18.826499999999996,-7.259899999999998,2.06600098531295,-0.13716452799045942,14.900000000000002,-8.400000000000006,-0.0300000000000153,-0.019999999999996004,-1.4200446374346143e-14,7.120000000000001,-0.30868489941062194,-1.7000000000000028,38.130900000000004,-0.4671499059510751,1.34745,-2.403004414377108,1816.7600000000002,-7.848377138581829,39.01652,14.75,-2,0.39832654247613597,1.9627516688984485,-4.199999999999999,-6.0,131.4,73.99999999999999,55.599999999999994,-23.804399999999994,27.1978,11.8165,4.550474101471519,-0.3559722112530306,-11.900000000000002,-0.3999999999999986,-34.89240000000001,-4.627425474638372,1.34745,2.404527939228552,-1816.7600000000002,9.394984844739989,8.341204000000001,-15.120000000000005,-1.5
r1_r1_g07,Round 1,UCLA,7,Region 1,UCF,10,Region 1,0.6436,27.6,19.1,21.667,0.90568911,123.728,97.939,123.332485,98.690565,3.61804976,54.1,50.4,65.6,3,54.94,18.4,14.3,15.0386,0.81370138,120.452,94.587,119.95083,94.481436,2.12140459,53.9,48.2,70.1,2,54.595,9.200000000000003,4.800000000000001,1.4966451699999999,6.628400000000001,0.09198772999999993,-17.4,-28.9,18.5,30.799999999999997,-0.6400000000000006,-0.7899999999999999,0.18408000000000024,0.8100000000000023,-4.8999999999999915,-4.5,-3.8000000000000043,10.300000000000004,-1.1000000000000005,-4.600000000000001,8.400000000000002,-3.8000000000000043,0.0,-7.300000000000004,-2.8999999999999986,10.300000000000004,15.100000000000001,10.8,29.14099999999999,28.851049000000003,5.899999999999999,5.200000000000003,-27.799999999999997,51.0,-27.700000000000003,69.80000000000001,5.0,10.699999999999996,-81.6,74.4,22.4,-14.600000000000001,-27.799999999999997,-5.9,-6.0,-22.513000000000005,-21.26026499999999,-3.5,-4.800000000000004,32.0,-49.3,31.699999999999996,-65.6,-3.1999999999999993,-16.9,83.60000000000001,-85.4,-23.0,21.099999999999994,32.0,9.399999999999999,-135.4,-75.4,-59.4,9.2027,-12.499600000000008,-12.4882,0.46179156283621126,-0.044927698281037154,-7.0000000000000036,-20.299999999999997,-0.0300000000000011,-0.040000000000006294,-0.0600000000000023,0.8100000000000023,-1.6498268620920697,-4.5,38.7294,3.3875208187367463,-0.5933900000000002,-2.4093127226297137,1977.5399999999993,-10.860250654881721,39.11403800000001,16.655,1,0.1013442742804802,3.1383260753115962,-4.300000000000002,-9.399999999999999,135.4,75.4,59.4,-17.3264,21.854300000000002,18.03260000000001,-0.1105963497230249,-0.4694085696066387,-0.10000000000000142,15.899999999999999,-36.01989999999999,-6.916039437083597,-0.5933900000000002,2.018086935991218,-1977.5399999999993,9.684348003011632,-12.475077999999996,-13.685000000000002,-0.09999999999999964
r1_r1_g08,Round 1,Ohio St.,8,Region 1,TCU,9,Region 1,0.6213,28.8,22.1,22.2397,0.90855351,124.305,97.934,124.181948,98.293932,2.89339387,57.0,51.3,67.1,1,56.36000000000001,22.1,17.9,17.5867,0.83488468,115.379,102.2076,114.042827,100.9476981,2.37466884,51.3,49.2,68.5,1,54.349999999999994,6.699999999999999,4.200000000000003,0.5187250300000001,4.652999999999999,0.07366882999999991,-11.5,-24.6,21.5,31.799999999999997,1.4299999999999926,2.55,0.3780100000000002,-2.210000000000001,-3.1000000000000085,-1.4000000000000057,2.0,3.3999999999999986,0.7999999999999998,-7.199999999999999,5.199999999999999,2.0,0.5999999999999996,-7.300000000000001,3.6999999999999993,3.5,6.800000000000001,7.299999999999999,22.097400000000007,23.23424990000001,7.799999999999997,9.5,-30.299999999999997,49.400000000000006,-27.400000000000006,64.39999999999999,4.199999999999999,13.0,-83.1,80.8,26.1,-12.799999999999997,-30.299999999999997,-0.2999999999999998,-3.3000000000000007,-17.445000000000007,-15.748895000000005,0.0,-3.8999999999999986,35.300000000000004,-45.099999999999994,24.0,-67.8,-4.800000000000001,-11.0,78.60000000000001,-78.3,-20.5,18.6,35.2,7.799999999999997,-132.2,-77.6,-51.400000000000006,11.462399999999999,-11.336299999999994,-10.8243,-1.6400058078437958,-0.21889454986373047,-2.1999999999999993,-15.800000000000004,-0.049999999999997095,-0.019999999999981796,0.0,-2.210000000000001,-0.5908992991207924,-1.4000000000000057,38.2446,4.100319248243466,1.72729,-1.8611711887996485,2443.9500000000007,-7.073472628156959,20.035002000000006,15.95000000000001,0,1.0188173508244294,2.427896030222044,0.4999999999999982,-7.799999999999997,132.2,77.6,51.400000000000006,-16.5741,21.979899999999997,15.347600000000002,1.8860033560799216,-0.27598407416650794,1.9000000000000021,13.700000000000003,-34.7814,-2.856019321864977,1.72729,2.213332139097007,-2443.9500000000007,12.88686740492804,2.376995000000001,-14.309999999999995,-3.000000000000001
r1_r2_g01,Round 1,Arizona,1,Region 2,LIU,16,Region 2,0.8596,42.5,27.6,37.6556,0.97715529,127.676,109.9799,126.307219,108.8856842,13.6672492,55.7,56.0,71.0,3,57.790000000000006,-3.6,3.0,-3.95107,0.3502581,105.631,90.418,103.903018,90.361477,-5.7707762,52.6,48.7,68.8,2,53.294999999999995,46.1,24.6,19.4380254,41.60667,0.62689719,-19.5,-31.700000000000003,21.0,30.9,1.5799999999999983,3.45,0.46658,6.860000000000003,3.3000000000000114,2.200000000000003,-6.400000000000002,8.200000000000003,4.7,-2.3000000000000043,8.7,-6.400000000000002,-6.4,-17.900000000000002,9.700000000000003,8.200000000000003,20.5,11.6,37.257999999999996,35.94574200000001,7.0,6.199999999999996,-32.099999999999994,42.400000000000006,-19.300000000000004,66.69999999999999,4.0,4.600000000000001,-81.10000000000001,84.60000000000001,18.999999999999993,-13.5,-32.099999999999994,25.599999999999998,13.1,4.3489,4.982666199999997,3.3999999999999986,3.3000000000000043,32.49999999999999,-38.3,36.8,-63.199999999999996,-9.100000000000001,1.3999999999999986,77.8,-78.10000000000001,-12.299999999999997,23.700000000000003,32.49999999999999,3.6000000000000014,-129.9,-68.1,-56.1,14.95129999999999,-12.2016,-12.961200000000002,-0.17014217639027862,0.4383834927981125,-3.900000000000002,-0.6000000000000014,0.0099999999999909,0.0500000000000113,0.0300000000000011,6.860000000000003,2.9585005212227315,2.200000000000003,38.4539,2.649345171079787,2.40704,-1.9477276714446614,1543.2700000000002,-6.4932611072498005,32.344572,17.38000000000001,1,-0.07346494081250299,-0.7476991828696384,-8.899999999999999,-3.6000000000000014,129.9,68.1,56.1,-24.547200000000004,27.002200000000002,15.050200000000002,4.006501837567676,-1.1024020391941076,8.5,6.100000000000001,-32.651599999999995,-8.061335342835818,2.40704,2.8653964068761826,-1543.2700000000002,8.338704919463655,38.863164,-10.739999999999995,-12.5
r1_r2_g02,Round 1,Purdue,2,Region 2,Queens,15,Region 2,0.7937,40.8,27.6,31.1992,0.96376793,131.635,99.564,132.165959,100.6387473,9.19222983,58.3,49.7,65.4,4,56.85,-0.9,2.5,-1.43724,0.43044616,115.771,82.791,114.413126,82.766656,-6.9627917,53.8,47.1,70.5,2,54.2,41.699999999999996,25.1,16.15502153,32.63644,0.53332177,-19.599999999999998,-30.1,23.000000000000004,32.699999999999996,-0.5699999999999932,1.1800000000000002,1.17387,-1.8399999999999999,-5.400000000000006,-5.099999999999994,1.3999999999999986,-1.7999999999999972,1.5999999999999996,-14.2,12.899999999999999,1.3999999999999986,0.5999999999999996,-11.900000000000002,13.700000000000001,-1.7999999999999972,38.8,24.2,48.843999999999994,49.39930299999999,11.199999999999996,12.200000000000003,-26.300000000000004,47.5,-28.799999999999997,71.0,2.799999999999997,14.799999999999997,-82.0,82.8,31.300000000000004,-12.300000000000004,-26.300000000000004,2.8999999999999995,0.9000000000000004,-16.207000000000008,-13.7743787,-4.099999999999994,-12.100000000000001,29.9,-46.900000000000006,36.2,-67.60000000000001,-4.199999999999999,-12.0,85.4,-85.0,-27.700000000000003,14.399999999999999,29.9,15.29999999999999,-138.60000000000002,-74.19999999999999,-65.0,9.669199999999996,-6.228200000000008,-9.857900000000003,2.784153880457847,-0.35017451989627413,1.1000000000000014,-15.399999999999999,0.0699999999999789,0.0500000000000113,0.0500000000000113,-1.8399999999999999,-0.22291992640346336,-5.099999999999994,43.1178,-2.338357250276758,0.7375500000000001,-2.530244706370784,1431.74,-11.265791806002516,86.831842,18.47,2,0.7623444802069415,1.1366269149908703,-14.600000000000001,-15.29999999999999,138.60000000000002,74.19999999999999,65.0,-21.3198,22.654900000000005,12.808800000000002,-0.9839842734394573,-0.210850875441018,-10.099999999999998,17.1,-37.0576,-2.5691858799076925,0.7375500000000001,2.480569814319693,-1431.74,10.405195178200541,15.778709,-13.950000000000003,-1.9999999999999991
