team_id,5man_prpg!,5man_dprpg,5man_bpm,5man_obpm,5man_dbpm
2026 Michigan,18.5,19.9,49.1,25.6,23.7
2026 Duke,16.2,20.5,46.1,21.5,24.6
2026 Arizona,17.6,21.4,42.5,20.4,22.2
2026 Iowa St.,18.9,21.3,41.5,21.4,20.1
2026 Houston,17.9,21.5,41,21,20.1
2026 Purdue,22.8,16.8,40.8,30.6,10.2
2026 Florida,17.3,22,39,18.6,20.3
2026 Michigan St.,16.9,19,38.2,20.5,17.7
2026 Illinois,21.7,16.7,38,26.3,11.8
2026 Alabama,16.4,13.5,29.4,21.9,7.4
2026 Vanderbilt,20,17.7,37.4,24.6,12.8
2026 Gonzaga,13.3,17.6,37.1,18.5,18.6
2026 St. John's,15.1,19.1,35.9,16.6,19.3
2026 Connecticut,17.4,20.7,35.3,19.1,16.3
2026 Kansas,17.1,21.7,34.4,17.6,16.8
2026 Louisville,16.7,16.8,31.6,20.2,11.3
2026 Arkansas,18.8,16.3,30.8,21.2,9.5
2026 Nebraska,15.5,21.3,29.7,11.5,18.4
2026 Ohio St.,20.4,17.1,28.8,21,7.7
2026 Tennessee,14.1,18.8,28.3,14.3,14.2
2026 UCLA,18.9,17,27.6,20.1,7.4
2026 Miami FL,16.1,17.8,27,17,10
2026 Saint Mary's,15.6,18.6,26.6,12.9,13.7
2026 Georgia,13.6,12.6,26.6,20.3,6.5
2026 Iowa,15.2,16.4,26.4,14.9,11.6
2026 Texas Tech,18.1,17.6,26.4,13.7,12.7
2026 Kentucky,14,15.7,26.2,14.6,11.6
2026 Texas A&M,11.9,13.2,25.7,15.6,10.1
2026 Wisconsin,15.9,14.7,25.2,17.3,8
2026 Virginia,13,15.8,24.3,13.2,11.3
2026 Clemson,10.4,15.7,24.1,9.4,14.7
2026 Villanova,14.1,15.8,24,13.3,10.9
2026 Saint Louis,12.5,15.2,24,13.6,10.4
2026 Missouri,15,14.8,23.7,15,8.8
2026 Texas,18.5,13.7,23.7,20.8,2.9
2026 North Carolina,13.8,16.3,22.9,13.8,8.9
2026 BYU,17.3,15,22.5,17.1,5.5
2026 Utah St.,12.6,14,22.2,12.9,9.4
2026 TCU,11.4,18.1,22.1,8,14.2
2026 Miami OH,12.5,13.7,14,10,4.1
2026 Santa Clara,14,13.5,20.5,13.4,7.1
2026 South Florida,13.6,15.8,19.9,12.6,7.1
2026 McNeese St.,11.4,14.3,19.5,10.6,9.1
2026 UCF,14.5,13.7,18.4,13.3,5
2026 VCU,10.4,13.7,17.5,9.6,8.1
2026 Akron,14.3,12.7,17.1,15.5,1.6
2026 Northern Iowa,10.1,17.9,16.9,5.3,11.7
2026 High Point,11.2,11.8,15.8,12.8,3.2
2026 Hawaii,8,15.5,14.9,5.6,9.2
2026 Hofstra,12.2,14.1,11.4,6.1,5.4
2026 North Dakota St.,10.2,13.3,10.6,6.7,3.9
2026 Cal Baptist,8.7,14.9,7.1,0.3,6.8
2026 Tennessee St.,10.2,11.8,6.5,5.6,0.9
2026 Kennesaw St.,8.6,10.9,6.4,5.4,0.9
2026 Wright St.,9.3,11.2,6.3,4.5,1.9
2026 Troy,10.7,12.3,6.1,4.3,1.8
2026 Penn,9.8,13.3,5.3,1.6,3.8
2026 Idaho,9.1,12.6,5.1,3.3,1.9
2026 Siena,8.2,13,3.2,0,3.2
2026 UMBC,9.2,11.6,1.9,1.6,0.4
2026 Queens,10.2,7.6,-0.9,7.3,-8.2
2026 Furman,7.7,11.2,-2.3,-1.8,-0.4
2026 LIU,7.6,12.9,-3.6,-3.4,-0.1
2026 Lehigh,7,11.3,-5.2,-3.4,-1.7
