game_id,round,team_region,team_seed,opp_region,opp_seed
r3_r1_g02,Sweet 16,Region 1,15,Region 1,3
r3_r1_g02,Sweet 16,Region 1,15,Region 1,14
r3_r1_g02,Sweet 16,Region 1,15,Region 1,6
r3_r1_g02,Sweet 16,Region 1,15,Region 1,11
r3_r1_g02,Sweet 16,Region 1,7,Region 1,3
r3_r1_g02,Sweet 16,Region 1,7,Region 1,14
r3_r1_g02,Sweet 16,Region 1,7,Region 1,6
r3_r1_g02,Sweet 16,Region 1,7,Region 1,11
r3_r1_g02,Sweet 16,Region 1,10,Region 1,3
r3_r1_g02,Sweet 16,Region 1,10,Region 1,14
r3_r1_g02,Sweet 16,Region 1,10,Region 1,6
r3_r1_g02,Sweet 16,Region 1,10,Region 1,11
r3_r2_g01,Sweet 16,Region 2,1,Region 2,4
r3_r2_g01,Sweet 16,Region 2,1,Region 2,13
r3_r2_g01,Sweet 16,Region 2,1,Region 2,5
r3_r2_g01,Sweet 16,Region 2,1,Region 2,12
r3_r2_g01,Sweet 16,Region 2,16,Region 2,4
r3_r2_g01,Sweet 16,Region 2,16,Region 2,13
r3_r2_g01,Sweet 16,Region 2,16,Region 2,5
r3_r2_g01,Sweet 16,Region 2,16,Region 2,12
r3_r2_g01,Sweet 16,Region 2,8,Region 2,4
r3_r2_g01,Sweet 16,Region 2,8,Region 2,13
r3_r2_g01,Sweet 16,Region 2,8,Region 2,5
r3_r2_g01,Sweet 16,Region 2,8,Region 2,12
r3_r2_g01,Sweet 16,Region 2,9,Region 2,4
r3_r2_g01,Sweet 16,Region 2,9,Region 2,13
r3_r2_g01,Sweet 16,Region 2,9,Region 2,5
r3_r2_g01,Sweet 16,Region 2,9,Region 2,12
r3_r2_g02,Sweet 16,Region 2,2,Region 2,3
r3_r2_g02,Sweet 16,Region 2,2,Region 2,14
r3_r2_g02,Sweet 16,Region 2,2,Region 2,6
r3_r2_g02,Sweet 16,Region 2,2,Region 2,11
r3_r2_g02,Sweet 16,Region 2,15,Region 2,3
r3_r2_g02,Sweet 16,Region 2,15,Region 2,14
r3_r2_g02,Sweet 16,Region 2,15,Region 2,6
r3_r2_g02,Sweet 16,Region 2,15,Region 2,11
r3_r2_g02,Sweet 16,Region 2,7,Region 2,3
r3_r2_g02,Sweet 16,Region 2,7,Region 2,14
r3_r2_g02,Sweet 16,Region 2,7,Region 2,6
r3_r2_g02,Sweet 16,Region 2,7,Region 2,11
r3_r2_g02,Sweet 16,Region 2,10,Region 2,3
r3_r2_g02,Sweet 16,Region 2,10,Region 2,14
r3_r2_g02,Sweet 16,Region 2,10,Region 2,6
r3_r2_g02,Sweet 16,Region 2,10,Region 2,11
r3_r3_g01,Sweet 16,Region 3,1,Region 3,4
r3_r3_g01,Sweet 16,Region 3,1,Region 3,13
r3_r3_g01,Sweet 16,Region 3,1,Region 3,5
r3_r3_g01,Sweet 16,Region 3,1,Region 3,12
r3_r3_g01,Sweet 16,Region 3,16,Region 3,4
r3_r3_g01,Sweet 16,Region 3,16,Region 3,13
r3_r3_g01,Sweet 16,Region 3,16,Region 3,5
r3_r3_g01,Sweet 16,Region 3,16,Region 3,12
r3_r3_g01,Sweet 16,Region 3,8,Region 3,4
r3_r3_g01,Sweet 16,Region 3,8,Region 3,13
r3_r3_g01,Sweet 16,Region 3,8,Region 3,5
r3_r3_g01,Sweet 16,Region 3,8,Region 3,12
r3_r3_g01,Sweet 16,Region 3,9,Region 3,4
r3_r3_g01,Sweet 16,Region 3,9,Region 3,13
r3_r3_g01,Sweet 16,Region 3,9,Region 3,5
r3_r3_g01,Sweet 16,Region 3,9,Region 3,12
r3_r3_g02,Sweet 16,Region 3,2,Region 3,3
r3_r3_g02,Sweet 16,Region 3,2,Region 3,14
r3_r3_g02,Sweet 16,Region 3,2,Region 3,6
r3_r3_g02,Sweet 16,Region 3,2,Region 3,11
r3_r3_g02,Sweet 16,Region 3,15,Region 3,3
r3_r3_g02,Sweet 16,Region 3,15,Region 3,14
r3_r3_g02,Sweet 16,Region 3,15,Region 3,6
r3_r3_g02,Sweet 16,Region 3,15,Region 3,11
r3_r3_g02,Sweet 16,Region 3,7,Region 3,3
r3_r3_g02,Sweet 16,Region 3,7,Region 3,14
r3_r3_g02,Sweet 16,Region 3,7,Region 3,6
r3_r3_g02,Sweet 16,Region 3,7,Region 3,11
r3_r3_g02,Sweet 16,Region 3,10,Region 3,3
r3_r3_g02,Sweet 16,Region 3,10,Region 3,14
r3_r3_g02,Sweet 16,Region 3,10,Region 3,6
r3_r3_g02,Sweet 16,Region 3,10,Region 3,11
r3_r4_g01,Sweet 16,Region 4,1,Region 4,4
r3_r4_g01,Sweet 16,Region 4,1,Region 4,13
r3_r4_g01,Sweet 16,Region 4,1,Region 4,5
r3_r4_g01,Sweet 16,Region 4,1,Region 4,12
r3_r4_g01,Sweet 16,Region 4,16,Region 4,4
r3_r4_g01,Sweet 16,Region 4,16,Region 4,13
r3_r4_g01,Sweet 16,Region 4,16,Region 4,5
r3_r4_g01,Sweet 16,Region 4,16,Region 4,12
r3_r4_g01,Sweet 16,Region 4,8,Region 4,4
r3_r4_g01,Sweet 16,Region 4,8,Region 4,13
r3_r4_g01,Sweet 16,Region 4,8,Region 4,5
