game_id,year,region,round,high_bracket_team,low_bracket_team,high_bracket_seed,low_bracket_seed,win,5man_bpm,3man_bpm,wab,kenpom_rtg,torvik_rtg,5man_prpg,3man_prpg,5man_dprpg,3man_dprpg,size,height,experience,bench,raw_tempo,adj_tempo,3pr,3prd,off_dunk_share,off_close2_share,off_far2_share,off_3pt_share,def_dunk_share,def_close2_share,def_far2_share,def_3pt_share,5man_obpm,3man_obpm,kenpom_off,torvik_off,efg_pct,2p_pct,3p_pct,ft_pct,ftr,tor,orb_pct,ast_pct,blk_pct,off_dunk_fg_pct,off_close2_fg_pct,off_far2_fg_pct,off_3pt_fg_pct,5man_dbpm,3man_dbpm,kenpom_def,torvik_def,efgd_pct,2pd_pct,3pd_pct,ftd_pct,ftrd,tord,drb_pct,astd_pct,blked_pct,def_dunk_fg_pct,def_close2_fg_pct,def_far2_fg_pct,def_3pt_fg_pct,net_efg_margin,net_turnover_margin,net_rebounding_margin,net_ftr_margin,rim_efficiency,perimeter_efficiency,three_point_volume_efficiency,shot_quality_variance,rim_to_three_ratio,mid_range_reliance,paint_touch_rate,top5_scoring_concentration,top5_rebounding_concentration,top5_def_rebounding_concentration,bench_scoring_ratio,rotation_balance,tempo_advantage,effective_possession_rate,offensive_versatility_score,size_speed_index,assist_to_usage_ratio,free_throw_advantage,block_efficiency,experience_weighted_production,four_factors_composite,elite_outcome_probability,offense_defense_balance,shooting_variance_resilience,lineup_depth_quality,def_net_efg_margin,def_net_turnover_margin,def_net_rebounding_margin,def_net_ftr_margin,def_rim_efficiency,def_perimeter_efficiency,def_three_point_volume_efficiency,def_shot_quality_variance,def_rim_to_three_ratio,def_mid_range_reliance,def_paint_touch_rate,def_effective_possession_rate,defensive_versatility_score,def_size_speed_index,def_assist_suppression,def_free_throw_advantage,def_block_efficiency,def_experience_impact,def_four_factors_composite,def_lineup_depth_quality
20151101a,2015,Region 1,First Round,2015 Kentucky,2015 Hampton,1,16,1,54.1,34.0,25.30369905,45.94466,0.720058225,5.0,2.5,-15.700000000000003,-9.100000000000001,3.430000000000007,7.8,-1.26,4.699999999999996,-5.300000000000004,-5.799999999999997,-41.599999999999994,-35.7,9.8,-2.0,5.299999999999997,-3.1999999999999993,-0.40000000000000036,-1.7000000000000028,3.6000000000000014,-2.1000000000000014,28.4,18.0,16.718999999999994,16.11222509999999,5.299999999999997,7.200000000000003,0.5999999999999943,3.5,-2.0999999999999943,3.6999999999999886,9.5,11.599999999999994,8.300000000000011,0.5,16.200000000000003,0.5,1.0,23.3,16.2,12.203100000000006,10.640777009999994,6.099999999999994,6.799999999999997,3.0,0.20000000000000284,11.800000000000011,1.2999999999999972,-1.1999999999999957,6.400000000000006,5.0,-3.200000000000003,2.4000000000000057,8.799999999999997,3.5999999999999943,-16.200000000000003,-121.19999999999999,-64.30000000000001,-35.30000000000001,19.874700000000004,-19.5443,-10.5392,1.1429574151618347,0.44506051274664005,-22.700000000000003,-12.599999999999994,0.0,0.010000000000005116,0.010000000000019327,4.699999999999996,0.3121305898237523,-5.799999999999997,32.55129999999999,4.015851308136519,5.00578,-1.959020050378646,1904.71,-8.127976384319878,29.804,15.54999999999999,1,0.37773250511561596,-0.8884809522804176,-10.399999999999999,16.200000000000003,121.19999999999999,64.30000000000001,35.30000000000001,-6.023900000000001,25.672200000000004,12.2894,4.284425991885268,0.018160267594241386,17.6,19.700000000000003,-23.265600000000003,-5.247733099919401,5.00578,3.0702461401648815,-1904.71,4.999154849912101,18.017,-5.115000000000002,-7.1
20151102a,2015,Region 1,First Round,2015 Cincinnati,2015 Purdue,8,9,1,1.6999999999999993,1.6999999999999993,-2.064611014,0.2685999999999993,-0.01951565799999999,-4.699999999999996,-2.299999999999997,-6.600000000000001,-3.200000000000003,-0.9000000000000057,-2.1799999999999997,0.24,-0.509999999999998,-5.699999999999996,-4.799999999999997,-38.4,-34.30000000000001,2.0,3.3000000000000043,-2.6000000000000014,-0.6999999999999993,0.09999999999999964,4.899999999999999,-5.899999999999999,0.8999999999999986,-2.6000000000000014,2.1999999999999993,11.5094,11.854018170000018,4.900000000000006,8.200000000000003,-1.7000000000000028,-2.299999999999997,-0.7000000000000028,-3.5,6.199999999999996,1.5999999999999943,6.799999999999997,3.6000000000000085,4.799999999999997,7.199999999999989,-2.0999999999999943,1.6999999999999993,-0.5,16.719499999999982,17.668370589999995,6.200000000000003,9.0,0.5999999999999943,3.5999999999999943,17.099999999999994,0.29999999999999716,-4.5000000000000036,7.0,6.099999999999994,5.900000000000006,17.599999999999994,3.0999999999999943,0.7999999999999972,-8.899999999999999,-120.60000000000001,-63.69999999999999,-55.8,14.853700000000005,-24.294399999999996,-10.0208,0.5446151952254041,0.2057243861962681,-23.6,-22.300000000000004,-0.010000000000005116,0.010000000000005116,-0.010000000000005116,-0.509999999999998,2.441014412939282,-4.799999999999997,29.9638,3.8343716735036537,-1.4813200000000002,-1.7586386837920873,977.0600000000004,-6.2980630351633575,-0.4319999999999986,11.270000000000003,0,-0.5112225968561095,-0.5834377144432352,4.800000000000001,8.899999999999999,120.60000000000001,63.69999999999999,55.8,-7.939200000000007,19.828400000000002,12.082499999999996,-3.03516809652913,0.11753167802174613,12.899999999999999,16.799999999999997,-29.2935,-0.9249892678234914,-1.4813200000000002,1.3997061609795378,-977.0600000000004,5.742454312961737,5.327999999999999,-9.090000000000003,-2.1999999999999993
20151103a,2015,Region 1,First Round,2015 West Virginia,2015 Buffalo,5,12,1,4.4,0.9000000000000004,4.913673546,6.4140999999999995,0.10172212400000002,-5.799999999999997,-3.6000000000000014,-2.8999999999999986,0.10000000000000142,-0.39000000000000057,1.3,-0.3799999999999999,13.3,0.19999999999998863,-0.10000000000000853,-28.099999999999994,-38.0,-0.49999999999999956,-2.799999999999997,7.399999999999999,-4.5,1.0,-1.6000000000000014,0.0,1.7000000000000028,6.700000000000001,5.5,14.247500000000002,12.900844549999988,-1.9000000000000057,-2.0,-1.0999999999999943,-0.20000000000000284,6.599999999999994,1.0999999999999943,10.5,7.900000000000006,0.7999999999999972,2.5,-2.6999999999999886,2.1000000000000085,-1.3000000000000114,-3.4000000000000004,-4.6000000000000005,16.84469999999999,15.96558379999999,-4.0,-4.0,-2.5,3.5,-13.599999999999994,11.799999999999997,-3.6000000000000014,-2.200000000000003,1.3999999999999915,-3.299999999999997,-2.1999999999999886,-6.900000000000006,-2.299999999999997,-3.6999999999999957,-116.89999999999999,-62.900000000000006,-27.60000000000001,5.776200000000003,-19.6299,-14.911999999999995,0.947467039261916,0.05349008280093459,-3.6000000000000014,-17.299999999999997,1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,13.3,3.3901013328475784,-0.10000000000000853,27.688799999999993,3.4416020723410696,0.89858,-2.294628635997414,2102.57,-8.023287036695894,6.984000000000002,11.645000000000003,0,-0.2899266993331633,-1.325934679763435,-1.2000000000000006,3.6999999999999957,116.89999999999999,62.900000000000006,27.60000000000001,-15.877,19.9902,9.9867,-0.8713585671346387,-0.10352530083330524,7.0,3.1999999999999957,-27.2628,-3.964787835521406,0.89858,1.8336668012586768,-2102.57,9.886906547970295,-8.766,-14.779999999999994,-1.2000000000000002
20151104a,2015,Region 1,First Round,2015 Maryland,2015 Valparaiso,4,13,1,8.899999999999999,4.699999999999999,6.431732618,5.2227,0.08375049099999998,-2.200000000000003,1.0,-8.200000000000003,-5.099999999999994,0.8799999999999955,1.58,0.1200000000000001,-0.6700000000000017,1.5999999999999943,1.3999999999999915,-24.900000000000006,-29.200000000000003,4.3,3.1999999999999993,-4.700000000000003,1.5999999999999943,-1.0,-7.700000000000003,4.699999999999996,3.1999999999999957,-3.5,6.999999999999999,15.465599999999995,15.575690100000003,6.0,5.699999999999989,4.200000000000003,5.799999999999997,11.799999999999997,0.19999999999998863,1.5999999999999979,-7.0,2.3999999999999915,-9.5,8.299999999999997,-0.20000000000000284,4.0,7.5,-2.499999999999999,11.696200000000005,11.175997740000014,6.0,3.9000000000000057,6.900000000000006,2.700000000000003,8.799999999999997,-1.7999999999999972,-4.600000000000001,3.5,3.1000000000000085,5.299999999999997,1.4000000000000057,1.9000000000000057,6.799999999999997,-7.400000000000006,-126.6,-77.80000000000001,-58.19999999999999,13.638199999999998,-24.4773,-10.264,-4.742144020325821,0.15926407533187203,-14.5,-31.1,-1.4210854715202004e-14,0.010000000000005116,-1.4210854715202004e-14,-0.6700000000000017,-1.1986902630635967,1.3999999999999915,31.285799999999995,6.7138819761484285,1.05358,-1.7368264713361181,1412.8100000000013,-6.909612413457227,-3.565999999999999,10.969999999999985,0,0.3572414214327697,-2.6713444072441064,10.5,7.400000000000006,126.6,77.80000000000001,58.19999999999999,-13.314299999999998,25.049099999999996,12.162399999999998,-0.23892977413341399,-0.3396850691194969,11.899999999999999,23.1,-32.1368,-7.356608400789412,1.05358,2.1999259862639167,-1412.8100000000013,7.633122873865064,12.330000000000002,-10.230000000000004,-10.0
20151105a,2015,Region 1,First Round,2015 Butler,2015 Texas,6,11,1,7.5,4.299999999999999,2.586070227,-0.4917000000000016,-0.0001062199999999347,-2.299999999999997,-0.5999999999999943,-11.099999999999994,-7.899999999999999,-0.3499999999999943,-3.69,0.3600000000000001,-19.22,1.499999999999993,1.1999999999999957,-40.1,-32.099999999999994,-0.9000000000000004,7.700000000000003,-5.600000000000001,-2.1000000000000014,-6.3,3.200000000000003,-3.3999999999999986,0.0,4.300000000000001,0.6999999999999993,17.795000000000016,17.11263403999999,6.900000000000006,9.400000000000006,1.0,1.9000000000000057,6.299999999999997,-3.200000000000003,6.5,-2.700000000000003,-0.09999999999999432,21.19999999999999,9.699999999999989,3.6000000000000085,0.9000000000000057,5.100000000000001,3.5999999999999996,21.950099999999992,20.962219329999982,2.5,1.3000000000000114,3.3000000000000114,4.5,3.5999999999999943,-0.7000000000000028,-13.100000000000001,5.0,9.200000000000003,-9.5,3.5999999999999943,1.2999999999999972,3.0999999999999943,-12.399999999999999,-129.1,-72.6,-55.1,10.4954,-27.715300000000006,-9.9547,8.852510004738544,0.31389217057554486,-27.800000000000004,-28.39999999999999,0.0,0.0,0.010000000000005116,-19.22,-1.8918679351909304,1.1999999999999957,32.349,9.317247135629245,-2.32293,-1.9075219396735767,1053.87,-4.429023943795925,11.617000000000003,11.125000000000007,0,-0.3897687138176398,-4.495291483843829,-3.6000000000000014,12.399999999999999,129.1,72.6,55.1,-13.241900000000001,20.570899999999995,12.0373,4.930953812979869,-0.09090642503152391,18.6,23.9,-29.271700000000003,-8.164153514944047,-2.32293,2.190906208161462,-1053.87,10.248352399725725,14.109000000000002,-11.844999999999999,-1.5000000000000018
20151106a,2015,Region 1,First Round,2015 Notre Dame,2015 Northeastern,3,14,1,20.9,12.899999999999999,12.687346194,19.24985,0.2722254500000001,6.200000000000003,5.399999999999999,-6.899999999999999,-3.5,-0.5,-0.53,-0.040000000000000036,-1.5800000000000018,0.5999999999999943,0.3999999999999915,-32.3,-36.599999999999994,6.1000000000000005,-2.200000000000003,-6.700000000000003,9.000000000000004,-1.3999999999999995,-14.899999999999999,13.900000000000002,1.0,22.400000000000002,16.9,21.55200000000002,23.44971079999999,9.0,9.699999999999989,4.799999999999997,5.299999999999997,12.400000000000006,1.1999999999999886,2.5,5.099999999999994,-0.8000000000000114,-4.0,8.099999999999994,7.700000000000003,4.5,2.5,-3.9000000000000004,7.339999999999975,6.807111050000003,6.5,5.5,5.8999999999999915,2.200000000000003,18.900000000000006,-4.0,2.0,8.699999999999989,2.8999999999999915,-5.300000000000011,-1.0,3.3000000000000114,6.0,10.900000000000006,-131.2,-85.1,-72.69999999999999,17.755999999999997,-13.5366,-4.1618999999999975,-4.3622339598224045,-0.2824862915810249,0.5,-3.299999999999997,-0.009999999999990905,0.009999999999990905,0.01999999999999602,-1.5800000000000018,1.2673346878885496,0.3999999999999915,42.2992,1.7620739097852436,-0.34025,-1.7104605068887455,1158.130000000001,-9.286905332433891,39.54,15.550000000000004,2,1.337733053974194,0.42942566349194067,-5.500000000000002,-10.900000000000006,131.2,85.1,72.69999999999999,-20.15449999999999,23.94310000000001,9.458000000000006,4.808037071951254,-0.573230038162273,7.300000000000001,9.100000000000009,-33.885,0.5105451477617038,-0.34025,2.687075117077538,-1158.130000000001,10.145073603875332,4.120999999999999,-10.805,-6.4
20151107a,2015,Region 1,First Round,2015 Wichita St.,2015 Indiana,7,10,1,17.299999999999997,10.900000000000002,4.794765917,7.8481000000000005,0.09236405000000003,2.700000000000003,3.1000000000000014,-2.3999999999999986,0.5,-0.269999999999996,-0.48,0.76,-1.5599999999999987,-5.899999999999999,-4.8999999999999915,-34.0,-30.700000000000003,0.5,-6.5,2.200000000000003,4.300000000000004,-2.8,-8.900000000000002,17.9,-9.0,19.200000000000003,18.4,9.484000000000009,10.665735500000011,0.20000000000000284,-2.0999999999999943,3.0999999999999943,2.299999999999997,3.3000000000000114,0.9000000000000057,3.4999999999999964,8.599999999999994,-0.8000000000000114,-7.200000000000003,-1.5,0.7000000000000028,2.700000000000003,-1.0,-7.400000000000002,25.978499999999997,27.230340539999986,9.400000000000006,8.200000000000003,5.8999999999999915,3.4000000000000057,-4.099999999999994,4.5,-8.299999999999997,6.799999999999997,-2.0,6.799999999999997,5.0,0.5,5.400000000000006,1.000000000000007,-130.0,-71.60000000000001,-63.00000000000001,11.3813,-15.996799999999997,-8.240499999999999,-4.175170136717867,-0.35755035939069213,-14.0,-15.399999999999991,0.0,0.0,0.010000000000005116,-1.5599999999999987,0.6246343079828023,-4.8999999999999915,35.024100000000004,3.2455487471838325,-0.23633000000000004,-2.325951388379028,524.1599999999999,-11.027292199015443,35.612,13.480000000000004,-2,-1.6054442029122669,0.380430838658782,-0.8000000000000016,-1.000000000000007,130.0,71.60000000000001,63.00000000000001,-14.775400000000003,22.34549999999999,3.6329999999999956,-1.959007642853095,-0.04148477518134497,11.699999999999996,20.299999999999997,-33.42660000000001,-8.690340316969525,-0.23633000000000004,3.024099890750836,-524.1599999999999,8.026716100393825,12.32,-12.330000000000005,-6.400000000000002
20151108a,2015,Region 1,First Round,2015 Kansas,2015 New Mexico St.,2,15,1,9.2,4.600000000000001,12.997880760000001,16.736600000000003,0.25409052600000004,-4.400000000000006,-0.7999999999999972,-5.299999999999997,-3.700000000000003,0.09000000000000341,-1.8600000000000003,-0.6500000000000001,2.929999999999996,4.0,3.0999999999999943,-48.2,-42.8,3.0999999999999996,-2.3999999999999986,-2.5,5.0,-1.3999999999999995,-8.200000000000003,1.6000000000000014,6.600000000000001,5.300000000000001,4.9,14.451300000000003,15.174386080000005,3.4000000000000057,0.09999999999999432,8.0,2.5999999999999943,10.5,1.4000000000000057,4.199999999999999,5.299999999999997,7.0,-7.0,-1.8000000000000114,1.7999999999999972,7.099999999999994,4.300000000000001,-0.3000000000000007,16.29570000000001,13.35873792000001,6.599999999999994,6.200000000000003,5.3999999999999915,3.799999999999997,11.200000000000003,-4.400000000000006,-7.699999999999999,1.1999999999999886,-3.9000000000000057,16.799999999999997,5.900000000000006,2.700000000000003,4.700000000000003,-9.400000000000006,-121.0,-63.099999999999994,-46.10000000000001,11.938199999999995,-18.635200000000005,-5.4605000000000015,-5.484994982295905,-0.31434558225513554,-21.700000000000003,-8.5,-0.009999999999990905,-0.010000000000019327,0.010000000000005116,2.929999999999996,0.8852257917348965,3.0999999999999943,28.7932,6.235010373972543,-1.1590900000000004,-1.6358183029934126,2000.020000000001,-10.215523402785738,-0.18900000000000006,10.344999999999999,1,-0.224762134747297,5.271691383647109,-0.40000000000000036,9.400000000000006,121.0,63.099999999999994,46.10000000000001,-16.037900000000008,24.4319,12.725200000000001,-6.034806358003024,-0.6978463864660069,17.4,11.600000000000001,-30.100999999999996,-8.329896489140282,-1.1590900000000004,2.05805819974543,-2000.020000000001,6.753354835279658,-2.3290000000000024,-11.609999999999992,-4.600000000000001
20151201a,2015,Region 4,First Round,2015 Wisconsin,2015 Coastal Carolina,1,16,1,39.5,25.999999999999996,16.092935857,31.904000000000003,0.43556255600000005,11.799999999999997,9.299999999999997,-13.200000000000003,-7.899999999999999,3.3100000000000023,7.23,0.15000000000000013,-7.310000000000002,-5.5,-4.600000000000001,-23.599999999999994,-39.099999999999994,3.0,3.6000000000000014,-1.2999999999999972,-2.3000000000000043,1.1,1.6999999999999993,6.299999999999997,-8.000000000000004,32.400000000000006,24.2,23.012,23.56719800000002,7.5,10.0,2.200000000000003,5.299999999999997,0.0,4.599999999999994,4.299999999999997,-3.299999999999997,1.6000000000000085,-2.5,10.099999999999994,5.599999999999994,2.700000000000003,13.100000000000001,1.9000000000000004,12.133600000000001,12.079536170000011,3.1999999999999886,4.200000000000003,-0.5999999999999943,2.200000000000003,18.5,-1.0999999999999943,-11.500000000000004,5.699999999999989,4.199999999999989,-7.799999999999997,-0.5999999999999943,5.699999999999989,-1.7000000000000028,-1.6999999999999957,-136.1,-81.6,-68.10000000000001,15.078199999999999,-20.789099999999998,-12.600700000000002,-2.345078990764634,0.228010037235713,-10.5,-27.800000000000004,0.0,-0.010000000000005116,0.0,-7.310000000000002,-0.6365149691718273,-4.600000000000001,38.83659999999999,4.206516189205345,4.38767,-2.0095789751109687,1115.6499999999994,-9.049841855019272,67.43700000000001,14.870000000000005,1,0.9249479247582659,-0.204993929333682,-8.200000000000003,1.6999999999999957,136.1,81.6,68.10000000000001,-6.007999999999999,16.585799999999992,3.9384999999999977,4.521357318697081,0.4155897349630562,29.299999999999997,30.799999999999997,-32.1167,-11.078274244240532,4.38767,4.2228430203585425,-1115.6499999999994,10.117843046570473,28.028,-11.420000000000002,-11.2
20151202a,2015,Region 4,First Round,2015 Oregon,2015 Oklahoma St.,8,9,1,-6.5,-2.700000000000001,2.909126241,-2.9944999999999986,-0.0370216470000001,-5.5,-1.2000000000000028,-0.5999999999999943,-1.3999999999999986,0.6400000000000006,-2.67,-0.6000000000000001,0.759999999999998,3.700000000000003,3.000000000000007,-34.099999999999994,-29.0,2.000000000000001,-1.5,-0.4000000000000057,1.8999999999999986,-5.4,5.5000000000000036,0.29999999999999716,-5.700000000000003,-0.7000000000000011,2.8000000000000007,18.811199999999985,17.860417890000008,6.099999999999994,7.099999999999994,2.4000000000000057,8.299999999999997,-12.900000000000006,4.200000000000003,-2.5,-1.8000000000000114,-0.6000000000000085,2.4000000000000057,9.0,4.5,2.200000000000003,-5.800000000000001,-5.6,10.552000000000021,10.203373889999995,2.3000000000000114,2.200000000000003,1.3000000000000114,3.5,4.400000000000006,-1.7999999999999972,4.800000000000001,2.700000000000003,7.299999999999997,-1.7999999999999972,4.400000000000006,0.7999999999999972,1.5,-4.0,-126.4,-77.7,-53.1,13.1209,-18.840900000000012,-8.481400000000002,-0.08239545903569834,-0.055796052616021496,-17.0,-18.5,-0.009999999999990905,-0.020000000000010232,0.0,0.759999999999998,3.0878554286673108,3.000000000000007,31.795,1.8482096769391205,-1.7772300000000003,-1.8982127274905198,1377.68,-6.139225923147321,-7.513000000000002,9.975000000000001,0,0.8773598097952213,0.09911462415402639,3.5000000000000018,4.0,126.4,77.7,53.1,-11.625999999999998,18.308799999999998,8.711399999999994,1.0451290726483293,0.16845916703916541,14.700000000000003,24.499999999999993,-32.01180000000001,0.03152242015897855,-1.7772300000000003,2.4295528115938314,-1377.68,8.622282250257141,-16.402,-10.600000000000001,0.20000000000000107
