year,team,region,seed,tier,overall,offense,defense,pct_round_2,pct_sweet_16,pct_elite_eight,pct_final_four,pct_championship,pct_champion,bracket_value,5man_bpm,3man_bpm,elite_outcome_probability,efg%,def_rim_efficiency
2015,Purdue,Region 1,9,D,5.67,5.01,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,18.2,2,50.7,13.4966
2015,Indiana,Region 1,10,C,5.04,4.76,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,16.2,4,54.6,14.6385
2015,Texas,Region 1,11,C,6.09,4.04,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.9,1,49.4,14.6894
2015,Buffalo,Region 1,12,D,4.34,3.47,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,12.7,2,48.6,17.1451
2015,Valparaiso,Region 1,13,D,5.01,3.55,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.3,2,51.4,12.549
2015,Northeastern,Region 1,14,F,3.13,3.65,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,9.8,2,54.6,18.0688
2015,New Mexico St.,Region 1,15,D,4.52,4.75,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,15.7,2,51.0,16.709600000000002
2015,Hampton,Region 1,16,F,0.64,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,-1.9,1,45.8,16.7215
2015,Duke,Region 3,1,S,8.0,7.84,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,25.8,4,56.9,15.1202
2015,Gonzaga,Region 3,2,A,7.86,7.5,7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,26.1,2,58.4,13.3752
2015,Iowa St.,Region 3,3,B,6.66,5.69,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,20.2,2,54.7,10.2457
2015,Georgetown,Region 3,4,C,6.37,5.46,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,20.9,2,50.9,16.8483
2015,Utah,Region 3,5,A,8.11,6.86,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,29.5,2,55.6,15.850899999999998
2015,SMU,Region 3,6,C,6.21,5.86,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,20.4,1,52.4,11.8823
2015,Iowa,Region 3,7,C,6.61,5.29,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,24.2,2,47.8,11.2164
2015,San Diego St.,Region 3,8,C,5.95,2.6,7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,16.9,2,46.7,13.7106
2015,St. John's,Region 3,9,C,5.0,3.24,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,17.8,2,49.3,14.468999999999998
2015,Davidson,Region 3,10,C,5.72,5.07,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,22.0,4,56.0,15.2831
2015,UCLA,Region 3,11,C,4.77,4.29,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,16.7,0,49.4,14.5093
2015,Stephen F. Austin,Region 3,12,C,5.56,6.4,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,20.2,4,56.2,21.5594
2015,Eastern Washington,Region 3,13,F,3.24,4.06,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,11.6,3,55.4,16.6426
2015,UAB,Region 3,14,F,3.04,2.25,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.7,1,47.8,18.4232
2015,North Dakota St.,Region 3,15,F,2.26,1.23,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.3,1,49.2,14.127
2015,Robert Morris,Region 3,16,F,2.46,2.17,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,10.9,2,50.5,16.037000000000003
2015,Wisconsin,Region 4,1,S,8.46,7.46,7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9,33.8,2,54.6,13.77
2015,Arizona,Region 4,2,S,8.13,7.13,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2,28.2,0,53.6,11.693600000000002
